" "," ","#","股票代號/名稱","類別","20260424","0430","0508","0515","0522","0529"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","166","3596智易","通信網路","0.39","0.27","-0.39","-0.51","0.78","0.82"," ","50","1.36"," ","74.11","187.50","3.50"," "
" "," ","167","1460宏遠","紡織","0.35","0.26","0.28","0.25","0.18","0.03"," ","10","1.35"," ","71.67","6.94","0.01"," "
" "," ","168","1447力鵬","紡織","-0.05","-0.16","0.08","0.24","0.93","0.27"," ","30","1.31"," ","71.52","6.21","0.48"," "
" "," ","169","2535達欣工","營建","0.66","0.29","0.17","-0.17","-0.11","0.47"," ","50","1.31"," ","61.07","80.30","0.80"," "
" "," ","170","3607谷崧","電子零組件","0.47","-0.02","-0.30","-0.37","0.06","1.46"," ","50","1.30"," ","35.00","15.65","0.45"," "
" "," ","171","1325恆大","塑膠","-0.02","0.18","0.65","0.18","0.14","0.17"," ","31","1.30"," ","47.42","27.00","0.00"," "
" "," ","172","3356奇偶","光電","0.50","-0.14","0.49","0.03","0.38","0.03"," ","30","1.29"," ","29.66","62.30","0.30"," "
" "," ","173","6192巨路","其他電子","0.48","0.04","0.38","0.88","-1.26","0.77"," ","31","1.29"," ","58.17","128.50","0.50"," "
" "," ","174","4927泰鼎-KY","電子零組件","4.21","0.06","-4.03","-4.03","-0.92","6.00"," ","50","1.29"," ","33.64","56.20","-1.10"," "
" "," ","175","2392正崴","電子零組件","-0.06","-0.02","0.35","-0.44","0.83","0.61"," ","30","1.27"," ","48.10","39.25","1.60"," "
" "," ","176","1531高林股","電機","-0.01","0.90","0.31","-0.04","-0.04","0.14"," ","41","1.26"," ","63.97","12.10","-0.20"," "
" "," ","177","2440太空梭","電子零組件","-0.13","1.31","-0.41","0.02","-0.24","0.69"," ","31","1.24"," ","70.38","17.60","0.75"," "
" "," ","178","2390云辰","其他電子","-0.08","0.21","0.03","-0.04","0.37","0.73"," ","50","1.22"," ","37.80","10.80","0.15"," "
" "," ","179","3338泰碩","電子零組件","4.25","-3.03","0.18","0.26","0.35","-0.79"," ","30","1.22"," ","29.90","73.40","0.90"," "
" "," ","180","2613中櫃","航運","-0.06","0.53","0.13","0.24","-0.29","0.67"," ","31","1.22"," ","56.19","21.55","0.25"," "
" "," ","181","6657 華安","生技醫療業","0.10","0.57","-0.12","0.08","-0.04","0.62"," ","31","1.21"," ","36.89","38.60","0.30"," "
" "," ","182","2425承啟","電腦週邊","0.13","0.12","0.03","0.71","0.44","-0.22"," ","10","1.21"," ","47.69","35.60","1.00"," "
" "," ","183","9906欣巴巴","營建","-0.08","0.13","0.15","0.42","0.07","0.51"," ","31","1.20"," ","78.52","34.35","0.25"," "
" "," ","184","2032新鋼","鋼鐵","-0.29","0.00","0.13","0.23","0.05","1.07"," ","31","1.19"," ","57.76","17.85","0.05"," "
" "," ","185","1409新纖","紡織","-0.90","0.09","-0.36","0.47","0.11","1.78"," ","31","1.19"," ","68.03","22.80","2.05"," "
" "," ","186","2881富邦金","金融","-0.04","0.11","0.31","0.28","0.10","0.42"," ","31","1.18"," ","86.09","110.00","0.00"," "
" "," ","187","2385群光","電子零組件","0.03","-0.36","0.90","0.07","0.01","0.52"," ","31","1.17"," ","78.68","135.50","3.50"," "
" "," ","188","2431聯昌","電子零組件","0.06","-0.03","-0.01","0.12","0.10","0.91"," ","31","1.15"," ","42.07","10.45","0.25"," "
