"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"225","8112","至上","82.2","+0.4","+0.49","05/13","0.34","0.16","0.34","0.62","1.59","3.31","1.59","1.18","2.03","2.85","1.46","1.4"
"226","6561","是方","345.5","+1","+0.29","05/13","0","0","1.15","0.6","4.88","6.02","2.58","2.88","2.11","1.22","","3.15"
"227","2892","第一金","29.5","+0.1","+0.34","05/13","0.1","0.53","0.82","0.6","0.57","2.17","1.7","16.7","15.4","8.6","3.5","1.92"
"228","9910","豐泰","71.6","-1.9","-2.59","05/13","0.71","1.05","0.84","0.59","1.71","0.95","0.42","1.29","1.83","3.47","3.14","1.29"
"229","00850","元大臺灣ESG永續","81.95","-0.8","-0.97","05/13","1.42","0.51","0.86","0.58","0.28","2.58","0.99","1.04","1.3","1.03","","1.27"
"230","1402","遠東新","26.75","+0.1","+0.38","05/13","0.58","0.38","0.29","0.58","1.59","1.52","3.63","6.13","11.2","11.2","5.4","5.77"
"231","2530","華建","21.35","+0.05","+0.23","05/13","0.13","0.26","0.2","0.55","1.24","1.72","1.58","1.26","0.99","0.33","0.19","1.6"
"232","8016","矽創","268","-6","-2.19","05/13","0.27","0.26","1.43","0.55","1.21","3.52","3.38","6.9","7.45","8.89","3.99","5.62"
"233","4916","事欣科","65.2","-3.2","-4.68","05/13","0","0","0.77","0.55","0.39","0.3","0.2","0.08","0.03","0.02","0.01","0.1"
"234","2852","第一保","26.3","+0.1","+0.38","05/13","0","0.42","0.54","0.54","1.14","2.88","1.07","0.86","2.03","0.55","0.26","1.06"
"235","6754","匯僑設計","45.15","-0.05","-0.11","05/13","0","0.61","0.75","0.52","1.09","1.49","0.76","0.68","0.45","0.04","","0.68"
"236","6197","佳必琪","233","-1","-0.43","05/13","0","1.55","1.02","0.51","0.15","0.08","0.11","1.54","1.45","0.64","0.44","0.56"
"237","5508","永信建","48.8","-0.55","-1.11","05/13","1.22","0.64","0.76","0.5","4.26","1.95","0.59","19","9.68","3.71","2.72","0.41"
"238","1558","伸興","90.9","-0.3","-0.33","05/13","0","0.58","0.6","0.5","0.98","1.22","0.93","0.63","0.44","0.11","0.83","1.01"
"239","1810","和成","18.75","+0.65","+3.59","05/13","0","0","0.32","0.49","0.49","0.74","0.98","0.53","0.84","0.38","0.15","0.68"
"240","1907","永豐餘","24.5","+0.7","+2.94","05/13","0","0","0.27","0.49","0.45","0.62","0.51","0.47","1.4","4.76","1.4","0.64"
"241","2528","皇普","22.35","+0.2","+0.9","05/13","1.46","0.37","0.54","0.48","0.23","1.06","0.42","0.21","0.11","0.04","0.02","0.3"
"242","6279","胡連","118.5","-0.5","-0.42","05/13","0.61","0.65","0.56","0.47","0.37","1.18","1.45","1.75","5","3.15","2.76","1.99"
"243","0052","富邦科技","56.15","-0.75","-1.32","05/13","0.3","0.13","0.28","0.46","0.27","0.65","1.3","1.03","1.05","1.08","1.09","1.35"
"244","9802","鈺齊-KY","79.2","-1.5","-1.86","05/13","6.12","1.73","0.7","0.45","0.22","0.09","2.75","3.83","4.76","5.7","4.89","5.28"
"245","1303","南亞","86.5","-2.6","-2.92","05/13","1.09","0.89","0.63","0.45","0.73","2.65","1.92","1.49","2.58","2.91","2.45","1.55"
"246","1436","華友聯","48","-0.35","-0.72","05/13","1.26","0.5","0.55","0.44","0.3","0.32","0.2","0.35","0.55","0.65","0.48","0.44"
"247","6531","愛普*","1040","-15","-1.42","05/13","0.25","0.48","0.43","0.44","0.34","0.15","0.17","0.83","0.92","0.88","","0.92"
"248","3416","融程電","167","-3.5","-2.05","05/13","0","1.89","1.13","0.43","0.31","0.18","0.1","0.13","0.13","0.09","0.07","0.17"
"249","3040","遠見","39.8","+0.8","+2.05","05/13","0","0.91","0.56","0.42","0.5","0.22","0.05","0.02","0","0","0.01","0.02"
"250","2072","世紀風電","175","-3.5","-1.96","05/13","1.91","1.13","0.67","0.4","0.19","0.08","","","","","",""
"251","3376","新日興","200","-4","-1.96","05/13","0","0.26","0.28","0.4","0.29","0.09","0.52","0.72","2.02","2.2","2.91","0.33"
"252","00692","富邦公司治理","83.45","-1.05","-1.24","05/13","3","0.94","0.65","0.39","0.21","0.08","0.03","0.01","0.01","0","","0.02"
"253","7734","印能科技","4375","+395","+9.92","05/13","0","0","0","0.37","0.51","1.54","0.84","0.59","0.4","","","0.61"
"254","8069","元太","215","+19.5","+9.97","05/13","1.14","0.49","0.48","0.36","0.4","0.45","0.66","0.69","1.94","3.47","1.95","0.76"
"255","5388","中磊","79.4","-8.8","-9.98","05/13","0.01","0.7","0.65","0.36","1.19","2.66","1.33","2.6","5.97","4.09","2.99","1.69"
"256","6548","長科*","50.8","-1.9","-3.61","05/13","0","0.04","0.59","0.34","0.24","0.23","0.28","0.21","0.23","0.65","","0.26"
"257","1463","強盛新","18.15","+0.05","+0.28","05/13","0","0.87","0.68","0.34","0.09","0.02","0.01","0.01","0","0","0.04","0.01"
"258","6409","旭隼","753","-11","-1.44","05/13","0.15","0.91","0.47","0.34","0.55","0.6","0.43","0.49","0.42","0.62","0.75","0.54"
