"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00948B","中信優息投資級債","9.44","+0.01","+0.11","26W20","05/14","+7","+139,642","48.7","3.56","0","0","0","0","-1","-9,841","-17","-0.25","+42","+1,448,565","56.3","36.9"
"00950B","凱基A級公司債","14.01","+0.01","+0.07","26W20","05/14","+7","+71,575","40.5","1.77","0","0","0","0","-10","-61,991","-13.6","-1.53","+1","+11,402","48","0.28"
"00958B","永豐ESG銀行債15+","9.26","+0.01","+0.11","26W20","05/14","+7","+14,186","39.7","9.44","0","0","0","0","-1","-579","-14.8","-0.39","+36","+78,665","43.3","52.3"
"00959B","大華投等美債15Y+","9.34","+0.01","+0.11","26W20","05/14","+7","+25,742","41.7","4.55","0","0","0","0","+2","+3,396","18","0.6","+2","+11,703","62.1","2.07"
"00966B","統一ESG投等債15+","13.88","+0.03","+0.22","26W20","05/14","+7","+11,601","29.1","8.33","0","0","0","0","-1","-1,731","-28.3","-1.24","+27","+39,746","22.9","28.5"
"00970B","新光BBB投等債20+","9.36","+0.02","+0.21","26W20","05/14","+7","+28,898","48.6","7.03","0","0","0","0","-1","-2,509","-22.9","-0.61","+26","+99,285","42.4","24.1"
"009813","貝萊德標普卓越50","11.37","+0.15","+1.34","26W20","05/14","+7","+36,362","18.2","7.95","0","0","0","0","+6","+98,552","55.5","21.5","+6","+134,883","75.9","29.5"
"1256","鮮活果汁-KY","185","-6","-3.14","26W20","05/14","+7","+254","8.98","0.71","0","0","0","0","-2","-14","-0.93","-0.04","+6","+219","8.58","0.61"
"2248","華勝-KY","54.7","+0.4","+0.74","26W20","05/14","+7","+107","3.54","0.23","0","0","0","0","+1","+4","0.88","0.01","+7","+164","5.42","0.35"
"2453","凌群","54.8","+0.9","+1.67","26W20","05/14","+7","+1,093","9.32","1.09","0","0","0","0","-1","-4","-0.28","0","+7","+1,102","9.4","1.1"
"2881C","富邦金丙特","51.3","0","0","26W20","05/14","+7","+142","2.72","0.04","0","0","0","0","0","0","0","0","+7","+142","2.72","0.04"
"2916","滿心","46.55","+0.95","+2.08","26W20","05/14","+7","+92","2.95","0.14","0","0","0","0","0","0","0","0","+7","+85","2.73","0.13"
"4166","友霖","26.25","-0.45","-1.69","26W20","05/14","+7","+583","7.46","0.24","0","0","0","0","0","0","0","0","+7","+582","7.45","0.24"
"6570","維田","43.75","0","0","26W20","05/14","+7","+166","3.75","0.45","0","0","0","0","-1","-1","-0.07","0","+7","+170","3.83","0.46"
"6908","宏碁遊戲-創","39","+0.3","+0.78","26W20","05/14","+7","+70","6.28","0.19","0","0","0","0","0","0","0","0","+5","+77","12.5","0.21"
"6916","華凌","18.1","-0.15","-0.82","26W20","05/14","+7","+106","7.55","0.16","0","0","0","0","-1","-9","-7.6","-0.01","-1","-2","-1.76","0"
"006207","復華滬深","34.04","-0.08","-0.23","26W20","05/14","+6","+471","6.22","2.1","0","0","0","0","+13","+2,241","12.5","10","+14","+3,025","16","13.5"
"006208","富邦台50","222.5","+1.3","+0.59","26W20","05/14","+6","+16,951","11.4","0.92","-1","-36","-0.15","0","+6","+24,090","16.2","1.3","+6","+41,005","27.5","2.22"
"00647L","元大S&P500正2","133.15","+1.25","+0.95","26W20","05/14","+6","+55","1.43","0.86","0","0","0","0","+4","+907","42.6","14.1","+6","+1,214","31.6","18.9"
"00701","國泰股利精選30","31.84","+0.35","+1.11","26W20","05/14","+6","+6,076","19.1","3.34","0","0","0","0","+19","+34,220","27.7","18.8","+19","+48,550","39.3","26.7"
"00757","統一FANG+","129.05","+0.85","+0.66","26W20","05/14","+6","+16,193","21","5.4","0","0","0","0","+6","+26,989","35","9","+6","+43,182","56","14.4"
"00770","國泰北美科技","64.7","+0.75","+1.17","26W20","05/14","+6","+5,947","26.2","7.17","0","0","0","0","+6","+5,134","22.6","6.19","+6","+11,081","48.8","13.4"
"00858","永豐美國500大","35.83","+0.16","+0.45","26W20","05/14","+6","+4,628","16.8","3.74","0","0","0","0","+6","+10,099","36.7","8.15","+6","+14,727","53.5","11.9"
"00895","富邦未來車","50.55","+0.84","+1.69","26W20","05/14","+6","+3,589","14.9","2.29","0","0","0","0","+12","+9,787","20.9","6.24","+23","+22,100","25.4","14.1"
"00900","富邦特選高股息30","17.07","+0.07","+0.41","26W20","05/14","+6","+152,518","30.8","8.19","0","0","0","0","+6","+197,121","39.9","10.6","+6","+358,139","72.4","19.2"
"00909","國泰數位支付服務","48.62","-0.4","-0.82","26W20","05/14","+6","+36,748","24.2","24.8","0","0","0","0","+6","+24,338","16","16.4","+6","+61,086","40.2","41.2"
"00918","大華優利高填息30","25.87","+0.39","+1.53","26W20","05/14","+6","+196,128","21","6.07","0","0","0","0","+6","+464,233","49.8","14.4","+6","+660,361","70.8","20.4"
"00922","國泰台灣領袖50","36.25","+0.13","+0.36","26W20","05/14","+6","+204,325","36.4","10.2","0","0","0","0","+1","+469","1.15","0.02","+6","+242,453","43.1","12.1"
"00924","復華S&P500成長","32.34","+0.32","+1","26W20","05/14","+6","+18,491","23.7","4.05","0","0","0","0","+6","+12,363","15.8","2.71","+6","+30,854","39.5","6.76"
"00930","永豐ESG低碳高息","21.51","+0.03","+0.14","26W20","05/14","+6","+24,691","28.2","15.5","0","0","0","0","+6","+33,214","38","20.9","+6","+57,905","66.2","36.4"
"009800","中信NASDAQ","12.87","+0.11","+0.86","26W20","05/14","+6","+1,871","2.85","0.64","0","0","0","0","+6","+18,536","28.3","6.35","+6","+20,407","31.1","6.99"
