排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
232,5251,天鉞電,櫃,31.4,1.1,3.63,340,06/23,22,0,0,22,8.88,26.3,＋・＋
233,5215,科嘉-KY,市,44.75,-0.6,-1.32,74,06/23,-15,0,2,-13,16.9,26.2,－・＋
234,2892,第一金,市,32.45,0.15,0.46,54544,06/23,-10134,16352,257,6475,3762.0,26.2,－＋＋
235,1259,安心,櫃,58.0,0.0,0.0,0,06/23,0,0,0,0,8.46,26.1,・・・
236,6612,奈米醫材,櫃,71.8,-1.1,-1.51,102,06/23,-18,0,0,-18,12.4,26.0,－・・
237,6134,萬旭,櫃,34.35,-2.1,-5.76,1403,06/23,-346,0,6,-340,21.3,26.0,－・＋
238,1337,再生-KY,市,4.96,-0.09,-1.78,402,06/23,-24,0,0,-24,69.8,26.0,－・・
239,7823,奧義賽博-KY創,市,80.3,-1.2,-1.47,16,06/23,2,0,0,3,8.69,25.9,＋・＋
240,6147,頎邦,櫃,258.0,-19.0,-6.86,51449,06/23,-7659,652,-66,-7072,193.0,25.9,－＋－
241,5481,新華,櫃,21.65,-1.1,-4.84,216,06/23,-100,0,0,-100,18.5,25.8,－・・
242,3653,健策,市,3840.0,0.0,0.0,1028,06/23,154,-82,-2,70,37.7,25.7,＋－－
243,8932,智通*,櫃,100.5,0.5,0.5,2216,06/23,-278,0,-23,-301,91.3,25.5,－・－
244,5289,宜鼎,櫃,1885.0,-85.0,-4.31,2559,06/23,-425,3,-27,-449,24.5,25.5,－＋－
245,3324,雙鴻,櫃,1025.0,-50.0,-4.65,2339,06/23,-488,0,-44,-533,23.6,25.4,－・－
246,6446,藥華藥,市,1095.0,0.0,0.0,2383,06/23,-131,215,6,90,96.2,25.2,－＋＋
247,6620,漢達,櫃,90.9,1.0,1.11,2973,06/23,-242,0,154,-88,42.8,25.2,－・＋
248,2883,凱基金,市,30.1,-0.25,-0.82,89385,06/23,23429,-1971,-889,20570,4645.0,25.0,＋－－
249,8423,保綠-KY,櫃,17.8,0.0,0.0,8,06/23,-1,0,0,-1,10.4,24.9,－・・
250,6823,濾能,櫃,71.5,-0.2,-0.28,106,06/23,-7,0,0,-7,7.57,24.8,－・－
251,4755,三福化,市,144.0,-3.0,-2.04,419,06/23,-131,0,0,-132,24.9,24.8,－・－
252,6192,巨路,市,120.5,1.5,1.26,314,06/23,45,0,-1,44,23.8,24.7,＋・－
253,3105,穩懋,櫃,522.0,-19.0,-3.51,41748,06/23,3131,-388,589,3332,105.0,24.7,＋－＋
254,2492,華新科,市,577.0,-40.0,-6.48,39042,06/23,-9016,2334,-1503,-8184,120.0,24.7,－＋－
255,7749,意騰-KY,市,477.0,-1.5,-0.31,240,06/23,-28,3,-2,-27,11.5,24.6,－＋－
256,2059,川湖,市,7475.0,-75.0,-0.99,520,06/23,-29,44,3,18,23.4,24.5,－＋＋
257,8086,宏捷科,櫃,159.5,-6.0,-3.63,4588,06/23,975,0,-45,930,48.2,24.5,＋・－
258,4554,橙的,櫃,30.2,-0.45,-1.47,42,06/23,-14,0,0,-14,6.43,24.4,－・・
