"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"351","5906","台南-KY","市","47","0","0","0","06/04","0","0","0","0","6.93","19.4","・・・"
"352","2027","大成鋼","市","44.1","+0.25","+0.57","26,109","06/04","+13,480","-8,937","-470","+4,073","498","19.3","＋－－"
"353","3531","先益","櫃","23.6","0","0","0","06/04","0","0","0","0","11.8","19.3","・・・"
"354","2428","興勤","市","265","-6","-2.21","1,040","06/04","+268","0","-6","+262","24.6","19.2","＋・－"
"355","1467","南緯","市","7.71","-0.15","-1.91","453","06/04","+13","0","0","+13","44.8","19.2","＋・・"
"356","3042","晶技","市","208","-9.5","-4.37","14,603","06/04","-1,263","+18","-115","-1,360","65.7","19.2","－＋－"
"357","3152","璟德","櫃","181","-2.5","-1.36","575","06/04","-19","0","-20","-39","13.1","19","－・－"
"358","2369","菱生","市","35.25","-0.25","-0.7","16,235","06/04","-1,798","0","+100","-1,698","72.2","19","－・＋"
"359","1410","南染","市","26.7","0","0","23","06/04","+2","0","0","+2","11.8","19","＋・・"
"360","5439","高技","櫃","366","-9","-2.4","1,882","06/04","-391","0","-16","-407","17.6","18.9","－・－"
"361","4164","承業醫","市","30.2","+0.9","+3.07","1,407","06/04","-197","0","-9","-206","36.9","18.9","－・－"
"362","2385","群光","市","146.5","+1","+0.69","4,975","06/04","-1,954","+138","+105","-1,712","144","18.9","－＋＋"
"363","2006","東和鋼鐵","市","67.4","+0.7","+1.05","2,349","06/04","+248","-61","+106","+293","137","18.8","＋－＋"
"364","5388","中磊","市","88.9","-3.2","-3.47","5,190","06/04","-435","0","-120","-555","56.5","18.8","－・－"
"365","6283","淳安","市","25.3","-0.1","-0.39","621","06/04","+39","0","+2","+41","28","18.8","＋・＋"
"366","2867","三商壽","市","8.12","+0.12","+1.5","25,610","06/04","+10,416","0","+3,224","+13,640","1,102","18.7","＋・＋"
"367","9911","櫻花","市","83.7","+0.3","+0.36","426","06/04","+112","0","-2","+110","41.2","18.5","＋・－"
"368","3010","華立","市","140.5","-1.5","-1.06","830","06/04","-57","-34","+6","-85","48","18.5","－－＋"
"369","3236","千如","櫃","51.5","-2.5","-4.63","1,396","06/04","+129","0","+8","+137","19.4","18.5","＋・＋"
"370","00702","國泰標普低波高息","市","23.65","-0.02","-0.08","13","06/04","0","0","-12","-12","1.23","18.4","＋・－"
"371","3413","京鼎","市","322","+2.5","+0.78","2,700","06/04","+1,058","0","+33","+1,090","20.4","18.4","＋・＋"
"372","00683L","期元大美元指正2","市","21.4","+0.11","+0.52","69","06/04","+12","0","0","+12","2.1","18.4","＋・＋"
"373","2881","富邦金","市","114","+1","+0.88","55,345","06/04","+19,027","-20,713","+567","-1,119","2,563","18.3","＋－＋"
"374","6269","台郡","市","71.5","-6","-7.74","13,827","06/04","-2,370","0","-1,833","-4,203","58.7","18.1","－・－"
"375","6542","隆中","櫃","48.5","-1","-2.02","12","06/04","-1","0","0","-1","7.61","18.1","－・・"
"376","6217","中探針","櫃","266","-26","-8.9","9,416","06/04","-255","0","-52","-307","21.2","18","－・－"
"377","5478","智冠","櫃","103.5","+0.5","+0.49","201","06/04","+15","0","+2","+17","28.1","18","＋・＋"
"378","2204","中華","市","56.1","+1.2","+2.19","2,571","06/04","+481","-8","-12","+461","99.4","18","＋－－"
"379","6165","浪凡","市","49.1","+0.9","+1.87","752","06/04","+127","0","0","+127","13.9","17.8","＋・・"
"380","6290","良維","櫃","363.5","-3","-0.82","2,453","06/04","+182","0","-52","+130","30.2","17.8","＋・－"
"381","3260","威剛","櫃","458","-4","-0.87","23,101","06/04","+2,450","+14","-193","+2,271","56.4","17.8","＋＋－"
