"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"684","4535","至興","27.05","-0.15","-0.55","26W19","05/08","5.63","+36","+0.06","5.42","+36","+0.07","5.25","+36","+0.07"
"685","8222","寶一","35.7","-1.15","-3.12","26W19","05/08","2.41","+666","+2.84","2.28","+6","+0.03","2.28","+6","+0.03"
"686","3188","鑫龍騰","23.2","-0.6","-2.52","26W19","05/08","13.6","+25","+0.02","13.4","+46","+0.03","13","-915","-0.7"
"687","2891C","中信金丙特","62.7","0","0","26W19","05/08","15.4","-57","-0.04","15.4","-57","-0.04","15.1","-57","-0.04"
"688","6431","光麗-KY","18.05","-0.45","-2.43","26W19","05/08","6.52","0","0","6.44","0","0","6.35","0","0"
"689","9910","豐泰","78.5","+1.6","+2.08","26W19","05/08","87.9","+902","+0.1","87.1","+172","+0.02","86.4","-785","-0.09"
"690","2812","台中銀","19.05","-0.25","-1.3","26W19","05/08","342","-21,979","-0.64","333","-19,767","-0.59","327","-22,850","-0.69"
"691","2905","三商","13.9","-0.3","-2.11","26W19","05/08","91.4","+324","+0.04","90.1","+349","+0.04","88.9","-662","-0.07"
"692","2347","聯強","85.3","-3","-3.4","26W19","05/08","145","+300","+0.02","143","+1,797","+0.13","142","+3,456","+0.24"
"693","2006","東和鋼鐵","65.4","-1.6","-2.39","26W19","05/08","56.8","-2,630","-0.46","55.3","-4,048","-0.73","54.4","-4,030","-0.74"
"694","6662","樂斯科","29.4","-0.1","-0.34","26W19","05/08","1.17","+12","+0.1","1.03","+2","+0.02","1.03","+2","+0.02"
"695","2106","建大","17.5","-0.55","-3.05","26W19","05/08","73.9","+39.4","+0.01","72.8","+890","+0.12","71.7","+825","+0.12"
"696","8089","康全電訊","20.95","-1.4","-6.26","26W19","05/08","2.63","-750","-2.77","2.5","-788","-3.06","2.5","+28","+0.11"
