"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"196","6024","群益期","58.2","0","0","05/11","-35.4","-6.21","+8.99","+19.3","+24.7","+4.6","+11.5","+10.8","+4.7","+1.85","+0.78","+9.91"
"197","2458","義隆","150","-1.5","-0.99","05/11","-5.22","+19.5","+16.6","+19.2","+16.7","+27.6","+16.6","+8.59","-2.72","-0.28","+0.98","+13.3"
"198","5607","遠雄港","50.6","-1.3","-2.5","05/11","-5.42","+18.1","+19.6","+19","+15.4","+10","+6.24","+0.19","+3.63","+0.28","+0.09","+3.39"
"199","2433","互盛電","45.55","-0.2","-0.44","05/11","+2.69","+10.9","+0.8","+18.8","+14.1","+19.3","+9.9","+3.9","+1.19","+1.57","+0.12","+5.21"
"200","00836B","永豐10年A公司債","28.78","+0.03","+0.1","05/11","+99.1","+77.7","+20.2","+18.7","-16.6","+16.2","+12.4","+73.6","+80.3","+81.8","","+84.6"
"201","5903","全家","189.5","0","0","05/11","+6.93","+6.81","+7.77","+18.6","+6.26","-4.69","-6.35","+2.94","-9.83","-6.84","-5.96","+2.01"
"202","1903","士紙","49.3","0","0","05/11","+18.2","+19","+26.1","+18.5","+15","+8","-1.24","+5.8","-0.36","-0.73","+0.55","+3.51"
"203","5546","永固-KY","16.35","-0.2","-1.21","05/11","+25","+42.9","+17.5","+18.5","+8.75","+7.22","+3.01","+1.34","-0.28","+0.11","","+1.39"
"204","00689R","國泰20年美債反1","21.88","+0.02","+0.09","05/11","+94.3","+78","+41.2","+18.3","+3.79","+13.5","+9.21","+9.08","+5.96","+1.66","","+10.7"
"205","6996","力領科技","183","-2","-1.08","05/11","+14.3","+16.4","+20.2","+18.3","+18.3","+5.63","+5.1","+4.53","+2.37","","","+3.69"
"206","3056","富華新","13.55","+0.15","+1.12","05/11","+33.2","+19","+29.5","+18.1","+18.7","+6.29","+2.26","+2.43","-6.62","-1.63","-0.92","+3.62"
"207","2646","星宇航空","20.5","-0.1","-0.49","05/11","-12","+1.06","+16.5","+18.1","+19.1","+6.67","-0.7","-1.48","-1.51","","","-3.43"
"208","00921","兆豐龍頭等權重","21.79","+0.39","+1.82","05/11","+21","+28","+29.5","+18","+10.6","+20.5","+8.81","+8.36","+10.7","+2.94","","+9.8"
"209","7732","金興精密","35.8","-0.05","-0.14","05/11","+25","+15.4","+13.3","+17.9","+4.28","+11.6","+9.29","+4.01","+1.55","","","+7.31"
