"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6202","盛群","59.5","+4.3","+7.79","26W20","05/11","+3","+5,884","15.1","2.55","+2","+23","0.09","0.01","+2","+96","0.36","0.04","+3","+5,985","15.3","2.6"
"6257","矽格","212.5","+1.5","+0.71","26W20","05/11","-3","-5,327","-3.25","-1.1","+2","+1,177","0.96","0.24","-1","-265","-2.24","-0.05","-3","-6,579","-4.02","-1.36"
"6462","神盾","129.5","+3","+2.37","26W20","05/11","+2","+830","6.3","0.91","+2","+6","0.05","0.01","+8","+617","0.78","0.68","+2","+1,063","8.06","1.17"
"6472","保瑞","408.5","-10.5","-2.51","26W20","05/11","-2","-588","-9.9","-0.46","+2","+15","0.25","0.01","-1","0","-0.02","0","-2","-527","-8.87","-0.41"
"6488","環球晶","835","+33","+4.11","26W20","05/11","+6","+30,219","11.8","6.32","+2","+3,295","3.39","0.69","-1","-56","-0.51","-0.01","+6","+41,771","16.4","8.74"
"6526","達發","750","-3","-0.4","26W20","05/11","-1","-474","-13.1","-0.28","+2","+899","3.44","0.54","+2","+109","0.42","0.06","-1","-455","-12.6","-0.27"
"6533","晶心科","253","+14.5","+6.08","26W20","05/11","+4","+569","2.2","1.12","+2","+3","0.03","0.01","+2","+6","0.07","0.01","+4","+575","2.23","1.14"
"6719","力智","190","+3","+1.6","26W20","05/11","+2","+465","7.71","0.44","+2","+8","0.13","0.01","-1","-2","-0.26","0","+2","+493","8.18","0.47"
"6732","昇佳電子","167","+3","+1.83","26W20","05/11","-1","-28","-14.2","-0.06","+2","+4","0.24","0.01","+2","+1","0.07","0","-1","-27","-13.6","-0.06"
"6781","AES-KY","1320","+90","+7.32","26W20","05/11","-1","-354","-8.12","-0.41","+2","+29","0.2","0.03","+6","+453","0.91","0.53","-1","-235","-5.39","-0.28"
"6789","采鈺","600","-3","-0.5","26W20","05/11","+1","+503","4.84","0.16","+2","+244","0.36","0.08","-3","-284","-0.24","-0.09","+1","+497","4.78","0.16"
"7749","意騰-KY","535","+21","+4.09","26W20","05/11","-2","-457","-4.18","-0.98","+2","+5","0.05","0.01","+6","+135","0.84","0.29","-2","-349","-3.2","-0.75"
"8054","安國","103.5","-3","-2.82","26W20","05/11","-5","-2,335","-3.09","-2.21","+2","+18","0.11","0.02","-1","-12","-0.42","-0.01","-5","-2,328","-3.08","-2.2"
"8415","大國鋼","34.55","+0.2","+0.58","26W20","05/11","+3","+901","16.5","0.09","+2","+29","0.79","0","-13","-3,905","-13.2","-0.38","+1","+40","3.37","0"
"8454","富邦媒","194","-2","-1.02","26W20","05/11","+3","+1,731","20.6","0.65","+2","+586","9.21","0.22","-1","-1","-0.11","0","+3","+2,023","24.1","0.76"
"9939","宏全","120","+8.5","+7.62","26W20","05/11","+1","+1,849","37.4","0.63","+2","+149","1.37","0.05","+10","+1,267","2.06","0.43","+1","+1,900","38.5","0.64"
