"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"184","8349","恒耀","41.4","-0.1","-0.24","05/15","40.1","42.4","46.1","46.8","40.9","34","20.9","14.9","8.61","2.27","0.36","18"
"185","2015","豐興","62.6","-0.5","-0.79","05/15","53.7","47.2","46.1","28.4","20.8","33.5","39.7","41.4","49.1","41.6","38.5","40"
"186","4129","聯合","93.2","+1.3","+1.41","05/15","43.7","39.2","46","49.5","46.2","41.2","34.8","32.6","25","25.3","16.6","33.8"
"187","1477","聚陽","218","-5","-2.24","05/15","31","39.1","45.9","49.5","53.3","46","45.3","47.3","49.1","47","38.3","48.2"
"188","1455","集盛","7.94","-0.16","-1.98","05/15","61.1","50.8","45.9","40.2","33.1","30.6","28","23.3","23.4","25.8","15.1","23"
"189","6282","康舒","49.6","-0.8","-1.59","05/15","32.5","31.9","45.8","30.1","28.6","28.2","29.1","28","27","24.4","20.9","27.5"
"190","8109","博大","113","-0.5","-0.44","05/15","45.5","50.4","45.8","35.6","29.2","26.6","18.8","11","4.33","1.73","0.87","16.5"
"191","2731","雄獅","159","-2","-1.24","05/15","49.4","51.8","45.8","52.3","52","55.7","52.1","42.7","31.2","27","22.2","44.8"
"192","1218","泰山","18.45","-0.3","-1.6","05/15","51","52.6","45.7","40.6","32.5","29.3","19.6","21.8","28.9","25","14.9","20.8"
"193","9907","統一實","16.1","-0.3","-1.83","05/15","57.4","52.7","45.6","46.2","49.9","53.4","32.2","19.2","8.79","3.61","1.02","30.3"
"194","6712","長聖","128","-2","-1.54","05/15","55","57.5","45.6","38.6","32.2","36.1","32.4","30.4","26","22.8","","32.2"
"195","6415","矽力*-KY","468","-35","-6.96","05/15","50.4","45.6","45.4","46.1","44.2","40.5","43.2","47.5","52.1","53","54.7","43.2"
"196","6187","萬潤","1125","-15","-1.32","05/15","35.2","41.4","45.3","42.7","40.3","38.8","36.1","34.1","28.9","24.6","18.5","34.6"
"197","3533","嘉澤","2330","-120","-4.9","05/15","65.2","49","45.3","50.4","45.1","47.1","47.7","45.7","46.7","47.5","28.6","44.5"
"198","2883","凱基金","21.85","-0.25","-1.13","05/15","44.2","49.8","45.2","50.2","38","38.4","45.7","40","47.2","42.2","36.1","40.5"
"199","1906","寶隆","10.6","-0.1","-0.93","05/15","32.2","37","45","32","23.4","20.4","12.8","11.8","10.8","10.3","8.34","12.4"
"200","7799","禾榮科","305","-17","-5.28","05/15","39.6","43.8","44.8","40.8","33.3","30.4","23.2","6.9","","","","18.1"
"201","1722","台肥","45.75","-1.25","-2.66","05/15","55.7","46.3","44.8","39.3","35.6","31.8","32.6","36","39","38.6","31.2","34.5"
"202","8210","勤誠","1410","-50","-3.42","05/15","41.8","45.7","44.8","39.9","34.6","33","24","13.4","6.1","1.56","0.93","20.5"
"203","4904","遠傳","98.3","+0.2","+0.2","05/15","39.3","44.4","44.7","53.1","59.2","62","60","62.2","52.2","54.4","55.9","58.8"
"204","8070","長華*","45.15","-0.45","-0.99","05/15","58.2","44","44.7","37","35.9","29.1","20.6","10.2","4.59","1.16","0.6","19.7"
"205","4438","廣越","57.2","0","0","05/15","48.2","43.9","44.6","43","34","37.5","36.6","34.2","29.1","27.7","","34"
"206","6177","達麗","45.6","-0.1","-0.22","05/15","50.5","41.3","44.6","39.1","34.7","36.8","38.4","36.2","34.7","31","25.6","38.9"
"207","1615","大山","43","-0.1","-0.23","05/15","56.9","50.7","44.6","36.5","31.6","31.2","32.1","26.8","25.3","24.2","14","28.7"
"208","4746","台耀","53.8","+0.7","+1.32","05/15","27.7","38.9","44.5","41.9","38.9","36","36.1","37","35.6","28.7","18.8","35.8"
"209","8150","南茂","80.9","-3","-3.58","05/15","41.5","43.2","44.5","43.6","37","32.7","23.8","11.2","7.17","5.55","2.02","22.6"
"210","8081","致新","255.5","-5.5","-2.11","05/15","43.2","34.2","44.4","34.4","33.7","32.8","26.1","16.4","7.98","2.44","0.51","21.8"
"211","1720","生達","61.6","-0.2","-0.32","05/15","60.4","45.1","44.4","42.1","42.4","42","32.3","29.6","30.7","28.6","17.6","31.3"
"212","6669","緯穎","5115","-320","-5.89","05/15","34.9","37.9","44.3","50.8","46.1","47.8","48.5","44.9","41.7","41.9","","45.7"
"213","2354","鴻準","59.4","+0.4","+0.68","05/15","49.6","39.2","44.3","38.7","29.2","31.4","34.2","35.2","32","26","29","34.2"
"214","1604","聲寶","22.8","-0.05","-0.22","05/15","48.8","43.9","44.3","32.4","31","32.4","26.5","24.9","29.7","24.4","20.3","26.2"
"215","2820","華票","16.7","-0.05","-0.3","05/15","46.7","46.1","44.3","34.1","36.4","33","32","31.6","26.8","24.7","24.2","32.3"
"216","3324","雙鴻","995","-20","-1.97","05/15","30.4","45.2","44.2","41","38.4","30.6","32.1","31.6","28.2","25","15.3","31.3"
"217","2371","大同","29.15","+0.15","+0.52","05/15","40.5","44.2","44.2","42.9","36.9","39.1","38.4","30.2","30.9","27.8","22.3","31.3"
"218","3218","大學光","127","-2","-1.55","05/15","40.9","46.6","44.2","37","35.7","32.4","32","36.3","38.3","38.2","13.4","31.8"
