"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"31","3533","嘉澤","2800","-45","-1.58","05/12","+6.04","+5.08","+5.1","+6.2","+2.64","+2.1","+4.17","+2.1","+0.18","-0.98","+0.14","+3.9"
"32","6715","嘉基","480","-9.5","-1.94","05/12","-0.1","-0.05","+8.28","+6.12","+7.34","+6.71","+4.51","+4.01","+3.68","+1.05","","+4.09"
"33","3592","瑞鼎","261","-2.5","-0.95","05/12","+0.96","+1.83","+4.15","+5.88","+9.79","+5.54","+3.3","-8.43","-5.09","+0.22","","+1"
"34","2327","國巨*","419.5","+28","+7.15","05/12","+2.68","+7.41","+6.9","+5.78","+3.68","+1.88","+0.71","+1.21","+0.77","+0.57","+0.28","+1.32"
"35","6670","復盛應用","274.5","+12","+4.57","05/12","+0.2","+2.6","+4.87","+5.64","+10.3","-7.37","-1.99","-12.8","+0.56","+2.86","","-2.8"
"36","2383","台光電","4900","+50","+1.03","05/12","+10.9","+7.56","+5.01","+5.25","+2.18","+2","+3.14","+1.64","-1.16","+0.03","+0.15","+0.95"
"37","5274","信驊","18005","+180","+1.01","05/12","+18.8","+10.8","+6.35","+5.2","+7.14","+4.12","+4.02","+4.75","+1.98","+0.21","-0.06","+4.25"
"38","3529","力旺","4115","-345","-7.74","05/12","+4.23","+1.34","+3.66","+5.16","+0.47","+3.76","+1.88","+0.89","+0.04","-0.16","+0.27","+1.77"
"39","3583","辛耘","952","+86","+9.93","05/12","+1.59","+1.69","+2.53","+5.11","+4.88","+2.95","+1.63","+1.22","+0.65","+0.12","-0.03","+1.42"
"40","1307","三芳","32.3","-0.15","-0.46","05/12","-2.25","-1.77","+2.2","+4.85","+13.8","+7.6","+1.75","+0.88","-0.23","+0.19","+0.12","+1.21"
"41","8155","博智","420","0","0","05/12","+2.48","+1.72","+3.82","+4.6","+4.25","+2.28","+0.95","+0.57","+0.38","-0.45","+0.07","+0.66"
"42","3661","世芯-KY","5310","-65","-1.21","05/12","+2.75","+1.96","+2.67","+4.16","-0.14","+2.62","+0.37","-0.02","+0.1","-0.35","+0.06","+0.52"
"43","1612","宏泰","36.8","-0.45","-1.21","05/12","-3.1","-2.57","+3.28","+4.14","+12.4","+7.75","+3.41","+1.2","+0.32","+0.07","+0.03","+1.58"
"44","9907","統一實","16.85","-0.15","-0.88","05/12","-4.33","+1.67","+0.98","+3.73","+8.08","+1.19","-1.49","+9.35","+4.86","+2.08","+0.7","-0.64"
"45","8299","群聯","2725","+55","+2.06","05/12","+4.15","+3.72","+3.07","+3.69","+3.41","-0.06","-1.7","-2.24","-1.65","+0.11","+0.06","-1.22"
"46","5289","宜鼎","1795","+35","+1.99","05/12","-1.82","-1.23","+2.45","+3.61","+3.66","+2.31","+0.94","+0.58","-0.07","+0.1","+0.12","+1.29"
