"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"276","8454","富邦媒","187.5","-3.5","-1.83","659","05/15","-162","-171","-147","-209","-288","-17","-65","+26","+107","+74"
"277","3163","波若威","950","-70","-6.86","882","05/15","-88","-72","-130","-208","-967","+150","-1,201","-4,990","-4,368","-4,287"
"278","1513","中興電","150","-3","-1.96","6,052","05/15","+55","+132","-10","-207","+671","+1,002","-889","+116","-1,884","+506"
"279","5244","弘凱","38.45","-0.55","-1.41","552","05/15","-79","-129","-169","-206","-130","+193","+814","+270","+95","+56"
"280","00888","永豐台灣ESG","30.66","-0.46","-1.48","8,211","05/15","+25","-19","-26","-205","-579","-1,256","+679","+628","+594","+547"
"281","3010","華立","128.5","-1.5","-1.15","1,336","05/15","-12","-233","-308","-205","-129","+234","+293","-46","+466","-244"
"282","8034","榮群","23.8","-0.25","-1.04","454","05/15","-5","-72","-84","-205","-120","-120","-449","-313","+713","-646"
"283","5608","四維航","14.15","-0.45","-3.08","1,881","05/15","-79","-132","-114","-203","-103","-418","-610","-2,332","-2,095","-1,616"
"284","3081","聯亞","2655","-290","-9.85","3,145","05/15","+32","+9","-33","-202","+232","+554","-210","-2,869","-2,392","-2,137"
"285","4903","聯光通","48.6","-1.3","-2.61","6,647","05/15","-52","-51","-71","-199","-396","-886","+1,069","+4,102","+3,809","+534"
"286","6757","台灣虎航","51.9","-1.1","-2.08","1,357","05/15","+54","+114","+100","-199","+252","+241","-1,477","-2,074","-1,582","-1,750"
"287","6187","萬潤","1125","-15","-1.32","2,950","05/15","-86","-115","-383","-198","-474","-908","-993","-1,909","-2,055","-1,348"
"288","6412","群電","88.1","-3.6","-3.93","2,954","05/15","+57","+14","-152","-198","-152","+87","-99","+1,169","+1,129","+824"
"289","1907","永豐餘","25","+0.55","+2.25","3,443","05/15","-263","-326","-217","-196","-410","-337","+10","+2,924","-1,414","+1,782"
"290","4763","材料*-KY","41.65","-0.6","-1.42","5,072","05/15","-247","-275","+138","-195","+767","+2,921","-2,856","+1,088","+40,783","+1,923"
"291","6510","精測","3735","-415","-10","1,165","05/15","-42","-64","-82","-195","-120","+81","+374","+62","+289","+310"
"292","5905","南仁湖","8.06","-0.18","-2.18","919","05/15","-10","-53","-101","-194","-237","-391","-1,020","-1,709","-1,896","-1,526"
"293","2365","昆盈","36.65","+1.35","+3.82","12,153","05/15","+110","-28","-172","-192","-193","-5","-1,729","-1,764","-1,766","-2,612"
"294","3013","晟銘電","103","-2.5","-2.37","2,272","05/15","+116","-54","-81","-192","-1,274","-602","-823","-3,990","-3,433","-1,723"
"295","4909","新復興","49.2","-2.5","-4.84","1,595","05/15","-130","-93","-67","-192","-263","-632","-302","+306","-1,541","-892"
"296","5222","全訊","125.5","-0.5","-0.4","529","05/15","-81","-135","-139","-191","-241","-274","-122","+422","-228","+361"
"297","6488","環球晶","710","-78","-9.9","3,848","05/15","-226","-437","-184","-191","+2,609","+3,635","+3,332","+2,721","+2,477","+2,585"
"298","3501","維熹","39.95","+1.15","+2.96","1,044","05/15","0","-99","-172","-190","-199","-217","-172","+158","+228","+191"
"299","1108","幸福","13.85","-0.1","-0.72","594","05/15","+85","+122","+86","-188","-153","-141","+142","+185","-109","+248"
"300","6284","佳邦","84.5","-1.2","-1.4","3,954","05/15","-141","-220","-239","-188","-128","+525","+683","-1,934","-1,437","-832"
