"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"183","00708L","期元大S&P黃金正2","79.65","-1.85","-2.27","3,528","08/19","+3.41","+7.01","+9.51","+10.5","+21.3","+23.9","+36.5","+35.4","-5.7","+88.1"
"184","4561","健椿","47.3","-2.1","-4.25","1,943","08/19","+2.79","+1.87","+3.51","+10.2","+11.7","+4.34","-31.7","-48.7","-59.9","-51.8"
"185","6294","智基","28.7","+0.05","+0.17","36","08/19","-1.65","0","+2.59","+10.2","+16.7","+11.2","+58.7","+16.7","-19.6","-9.16"
"186","5439","高技","234.5","-7.5","-3.1","1,383","08/19","-1.54","-1.19","-2.36","+10.1","+17.3","+11.9","-3.83","-30","-57.1","-44.1"
"187","4413","飛寶企業","19.6","0","0","21","08/19","0","-1.24","+7.4","+10.1","+16.3","+13","+27.7","+54.5","+147","+172"
"188","6525","捷敏-KY","142.5","-5.5","-3.72","3,654","08/19","-0.31","+3.78","+4.37","+10.1","+20.6","-31.2","+107","+200","+236","+210"
"189","00673R","期元大S&P原油反1","12.3","-0.02","-0.16","10,173","08/19","+2.63","+8.02","+9.04","+10","+29.3","+46.5","-44.1","+149","+234","+1,893"
"190","2478","大毅","134.5","+12","+9.8","11,551","08/19","-2.13","-6.09","-6.58","+10","+16.8","+18.1","+76.9","+166","+1,207","+185"
"191","00957B","兆豐US優選投等債","12.9","+0.06","+0.47","276","08/19","0","0","+10","+10","+10","-38.9","-64.5","-95.6","-94.6","-95.8"
"192","2897","王道銀行","10.15","0","0","1,638","08/19","-0.44","+5.8","-3.49","+9.94","+5.31","-21.3","-20.7","-39.1","-49.3","-37.3"
"193","2449","京元電子","235","-1","-0.42","15,479","08/19","+0.03","+2.13","+1.58","+9.88","+14.5","+1.99","-12.8","+89.6","-36.3","+25.4"
