排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
203,2329,華泰,44.6,-0.1,-0.22,08/13,-84,-291,-251,-478,-1102,4578,13301.0,18718.0,25161.0,21921.0
204,00885,富邦越南,18.48,0.01,0.05,08/13,-134,-477,-477,-477,-2477,-1294,-1825.0,-11184.0,-22292.0,-18869.0
205,6168,宏齊,25.2,0.1,0.4,08/13,-73,-118,-110,-477,494,1264,-1039.0,1989.0,4193.0,1081.0
206,9802,鈺齊-KY,72.7,-0.1,-0.14,08/13,-84,-239,-398,-474,-517,-1308,-5736.0,-6219.0,5409.0,-4837.0
207,3013,晟銘電,87.0,0.3,0.35,08/13,10,21,-203,-473,-1119,-162,67.0,-1616.0,-3267.0,380.0
208,8016,矽創,315.5,4.0,1.28,08/13,-81,-102,-318,-466,-667,-186,1428.0,1321.0,1807.0,251.0
209,3078,僑威,52.9,-1.3,-2.4,08/13,94,-75,-391,-465,-740,885,3513.0,2188.0,6606.0,2486.0
210,9910,豐泰,70.3,-0.7,-0.99,08/13,-83,-289,-259,-462,-938,-234,18793.0,12119.0,15434.0,19847.0
211,2913,農林,10.95,-0.05,-0.45,08/13,135,226,-263,-460,393,446,3832.0,6782.0,8694.0,9204.0
212,3042,晶技,186.5,5.0,2.75,08/13,108,372,245,-455,-2104,-2825,7315.0,4000.0,1156.0,-3241.0
213,1710,東聯,14.8,-0.45,-2.95,08/13,-253,-714,-419,-447,1511,12173,528.0,16774.0,14923.0,17888.0
214,2355,敬鵬,43.1,0.3,0.7,08/13,-184,-281,-610,-446,1213,6344,10539.0,4384.0,12825.0,4173.0
215,2330,台積電,2435.0,20.0,0.83,08/13,112,-161,-308,-445,268,4497,11203.0,14192.0,-10797.0,13556.0
216,2852,第一保,26.95,0.05,0.19,08/13,-359,-358,-474,-443,-427,-519,-1287.0,-264.0,-1800.0,-251.0
217,3189,景碩,851.0,-7.0,-0.82,08/13,-5,-24,-86,-437,-500,534,-2319.0,-5169.0,-5606.0,-2179.0
218,2476,鉅祥,123.0,-2.0,-1.6,08/13,163,108,-72,-430,-775,-1460,1228.0,-1523.0,-3925.0,-1669.0
219,1515,力山,30.5,-0.75,-2.4,08/13,-24,-32,-421,-429,-746,-469,549.0,1060.0,277.0,1248.0
220,6781,AES-KY,1125.0,-20.0,-1.75,08/13,-264,-322,-409,-426,-447,-287,-579.0,104.0,2351.0,-57.0
221,6869,雲豹能源,66.6,-0.7,-1.04,08/13,43,14,-90,-422,-435,-448,-228.0,-968.0,1430.0,-505.0
222,2530,華建,19.5,0.1,0.52,08/13,60,-421,-420,-421,-498,-1026,2740.0,7384.0,15077.0,13236.0
223,2727,王品,230.5,-3.5,-1.5,08/13,-45,-111,-437,-421,-438,-81,-119.0,-546.0,-569.0,-655.0
224,2419,仲琦,24.9,-0.05,-0.2,08/13,9,3,36,-421,-703,-734,-1369.0,343.0,2813.0,1759.0
225,3030,德律,303.5,-4.0,-1.3,08/13,5,25,-360,-417,-923,425,4444.0,4526.0,3485.0,5175.0
226,4157,太景*-KY,9.13,0.07,0.77,08/13,-570,-543,-488,-415,-417,-609,65.0,-5357.0,4676.0,1606.0
227,2520,冠德,35.3,0.05,0.14,08/13,-301,-557,-502,-411,-72,-3188,-5455.0,749.0,-11369.0,-8824.0
228,00904,台新臺灣半導體30,41.05,0.72,1.79,08/13,0,0,0,-407,-610,3,-946.0,442.0,780.0,1194.0
229,8234,新漢,69.8,0.0,0.0,08/13,-49,-163,-312,-407,-576,-661,-530.0,-557.0,1427.0,-25.0
230,3062,建漢,21.0,-0.3,-1.41,08/13,115,166,63,-399,-1366,-4,-678.0,-1450.0,5.0,-5989.0
231,6589,台康生技,50.8,-0.3,-0.59,08/13,3,-23,-116,-397,-728,-311,-2032.0,-497.0,630.0,-43.0
