"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"71","00932","兆豐永續高息等權","17.53","+0.06","+0.34","26W28","07/09","86.7","+0.32","88.2","+1.04","11.8","-1.04"
"72","3221","台嘉碩","46.15","-1.15","-2.43","26W28","07/09","86.1","+1.27","89.4","+0.48","10.6","-0.48"
"73","00877","復華中國5G","38.66","+1.79","+4.85","26W28","07/09","85.7","-5.17","88.1","-4.6","11.9","+4.6"
"74","00653L","富邦印度正2","48.62","-0.3","-0.61","26W28","07/09","89.7","+1.82","89.7","+1.82","10.3","-1.82"
"75","00918","大華優利高填息30","33.59","+0.01","+0.03","26W28","07/09","88.5","-0.02","88.8","-0.02","11.2","+0.02"
"76","00928","中信上櫃ESG30","31.55","-0.87","-2.68","26W28","07/09","77.4","+6.73","77.4","+6.73","22.6","-6.73"
"77","006208","富邦台50","235.35","-1.2","-0.51","26W28","07/09","90","+0.21","90.2","+0.27","9.75","-0.27"
"78","00999A","主動野村臺灣高息","10.83","-0.05","-0.46","26W28","07/09","89.9","+1.29","90.7","+1.02","9.3","-1.02"
"79","911608","明輝-DR","2.53","-0.07","-2.69","26W28","07/09","87.7","-0.01","90.2","-0.01","9.8","+0.01"
"80","0056","元大高股息","51.05","-0.25","-0.49","26W28","07/09","89.9","-0.07","90.3","-0.08","9.73","+0.08"
"81","00927","群益半導體收益","35.54","-0.44","-1.22","26W28","07/09","92.6","+0.92","93.5","+0.76","6.64","-0.83"
"82","00903","富邦元宇宙","21.44","+0.02","+0.09","26W28","07/09","90.4","-0.44","90.4","-0.44","9.61","+0.44"
"83","5272","笙科","17.95","-0.3","-1.64","26W28","07/09","85","0","89.7","0","10.3","0"
"84","5230","雷笛克光學","17.25","-0.15","-0.86","26W28","07/09","86.6","+0.08","89.7","0","10.3","0"
"85","4968","立積","95.2","-2.3","-2.36","26W28","07/09","89.4","-0.03","89.4","-0.03","10.6","+0.03"
"86","00941","中信上游半導體","26.15","-0.2","-0.76","26W28","07/09","93.1","+0.01","93.9","0","6.07","0"
"87","00406A","主動中信台灣收益","9.23","-0.12","-1.28","26W28","07/09","92.2","+5.73","94.3","+5.86","6.51","-5.02"
"88","00993A","主動安聯台灣","12.75","-0.18","-1.39","26W28","07/09","88.5","+0.67","89.5","+0.67","10.5","-0.67"
"89","009821","野村稀土關鍵資源","14.34","+0.22","+1.56","26W28","07/09","90.2","+1.25","91.1","+1.25","8.89","-1.25"
"90","00916","國泰全球品牌50","27.22","-0.13","-0.48","26W28","07/09","87.6","+0.33","90.3","+0.5","9.71","-0.5"
"91","00917","中信特選金融","24.09","-0.25","-1.03","26W28","07/09","92.6","+0.58","94.1","+0.62","5.91","-0.62"
"92","00888","永豐台灣ESG","31.71","-0.39","-1.21","26W28","07/09","90.3","-4.06","90.7","-3.92","9.31","+1.39"
