"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"360","1473","台南","20","+0.05","+0.25","26M03","3.19","0","21.8","0.45","14.1","0","0","0","0","0","3.19","0","21.8","0.45","14.1"
"361","1583","程泰","49.1","+0.05","+0.1","26M03","1.09","0","9.94","0.31","28.5","0.01","0","0.08","0","0","1.1","0","10","0.31","28.3"
"362","2832","台產","58.7","0","0","26M03","6.76","0","26.6","0.99","14.6","0","0","0","0","0","6.76","0","26.6","0.99","14.6"
"363","6472","保瑞","409","-13","-3.08","26M03","3.31","0","26","0.4","12.1","0","0","0","0","0","3.31","0","26","0.4","12.1"
"364","2355","敬鵬","41.9","-1.2","-2.78","26M03","3.44","0","8.66","0.54","15.7","0","0","0.01","0","0","3.45","0","8.67","0.54","15.7"
"365","6197","佳必琪","307","-5","-1.6","26M03","4.15","0","34","0.6","14.5","0","0","0","0","0","4.15","0","34","0.6","14.5"
"366","1216","統一","75.8","-0.5","-0.66","26M03","56.2","0","9.89","8","14.2","0","0","0","0","0","56.2","0","9.89","8","14.2"
"367","2481","強茂","138","-5","-3.5","26M03","7.29","+400","19.1","1.05","14.4","0","0","0","0","0","7.29","+400","19.1","1.05","14.4"
"368","5457","宣德","27.3","-0.4","-1.44","26M03","6.03","0","30.7","0.85","14.1","0.01","0","0.07","0","0","6.05","0","30.8","0.85","14.1"
"369","1726","永記","77.5","-0.5","-0.64","26M03","3.41","0","21.1","0.48","14","0","0","0","0","0","3.41","0","21.1","0.48","14"
"370","2034","允強","19.9","-0.15","-0.75","26M03","11.7","0","22.4","1.65","14","0.08","0","0.14","0","0","11.8","0","22.6","1.65","14"
"371","2359","所羅門","159.5","+2.5","+1.59","26M03","3.41","0","19.9","0.63","18.6","0","0","0","0","0","3.41","0","19.9","0.63","18.6"
"372","3032","偉訓","80.9","0","0","26M03","4.08","0","36","0.56","13.7","0","0","0","0","0","4.08","0","36","0.56","13.7"
"373","6209","今國光","69.7","-0.9","-1.27","26M03","2.18","+5.64","12.5","0.3","13.7","0.03","0","0.17","0","0","2.21","+5.64","12.7","0.3","13.6"
"374","6727","亞泰金屬","432","+39","+9.92","26M03","0.31","-88.5","11.4","0.06","19.6","0","0","0","0","0","0.31","-88.5","11.4","0.06","19.6"
"375","4175","杏一","50.5","+0.1","+0.2","26M03","2.04","0","48.2","0.28","13.5","0","0","0","0","0","2.04","0","48.2","0.28","13.5"
"376","6767","台微醫","24.8","0","0","26M03","1.6","0","40.9","0.22","13.5","0","0","0","0","0","1.6","0","40.9","0.22","13.5"
"377","6446","藥華藥","1500","+55","+3.81","26M03","4.26","-91.7","11.2","0.38","8.86","0.03","-9","0.08","0","0","4.29","-101","11.3","0.38","8.8"
"378","4183","福永生技","14.5","0","0","26M03","0.64","0","26.7","0.08","13.2","0","0","0","0","0","0.64","0","26.7","0.08","13.2"
"379","3522","御嵿","11.65","-0.25","-2.1","26M03","1.09","0","10.5","0.17","15.6","0","0","0","0","0","1.09","0","10.5","0.17","15.6"
"380","1231","聯華食","80.1","-0.6","-0.74","26M03","6.33","0","21.2","0.83","13.1","0","0","0","0","0","6.33","0","21.2","0.83","13.1"
"381","5398","慕康生醫","14.05","-0.05","-0.35","26M03","0.77","0","15.5","0.1","13","0","0","0","0","0","0.77","0","15.5","0.1","13"
"382","6134","萬旭","28.7","+1.05","+3.8","26M03","3.3","-172","40.4","0.42","12.8","0","0","0","0","0","3.3","-172","40.4","0.42","12.8"
"383","2504","國產","30.45","-0.7","-2.25","26M03","15.4","0","13.1","2.17","14","0","0","0","0","0","15.4","0","13.1","2.17","14"
"384","2611","志信","14.95","+0.35","+2.4","26M03","5.02","0","26.6","0.64","12.8","0","0","0","0","0","5.02","0","26.6","0.64","12.8"
"385","3042","晶技","180.5","-6","-3.22","26M03","1.88","0","5.48","0.22","11.4","0","0","0","0","0","1.88","0","5.48","0.22","11.4"
