"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"38","6187","萬潤","1365","-65","-4.55","08/27","+4,393","-6,482","+4,880","+45,421","+11,204","+88,838","+64,190","-4,601","-212,264","-119,979"
"39","3406","玉晶光","917","+83","+9.95","08/27","-6,193","+22,050","+27,694","+44,909","+93,651","+125,005","+136,901","+80,353","+71,882","+51,969"
"40","6290","良維","248","-2.5","-1","08/27","+6,099","+21,704","+36,695","+43,678","+52,200","-24,302","+104,234","+226,276","+200,222","+166,052"
"41","6239","力成","287","+10","+3.61","08/27","+24,042","+29,978","+33,714","+39,328","-8,483","-69,255","-449,194","-131,900","-495,215","-195,451"
"42","3293","鈊象","707","+3","+0.43","08/27","-12,697","+2,033","-6,116","+38,892","-26,630","-148,110","+371,799","+316,328","+781,229","+187,113"
"43","6472","保瑞","435","-4.5","-1.02","08/27","+10,817","+8,078","+19,356","+37,322","+31,865","-12,564","-70,730","-160,534","+155,341","-639"
"44","5904","寶雅*","74.2","+0.1","+0.13","08/27","+5,594","+7,555","+17,752","+34,706","+101,083","","+90,591","+52,987","+73,743","+72,345"
"45","2412","中華電","135.5","0","0","08/27","+3,724","+23,683","+15,996","+34,382","+42,307","-55,355","+235,681","+340,348","+568,446","+486,565"
"46","3532","台勝科","399","+5","+1.27","08/27","+2,187","+5,831","+27,717","+33,186","+98,315","+64,283","+183,708","+133,804","+177,261","+144,753"
"47","2486","一詮","261","+2","+0.77","08/27","-417","+15,321","+22,306","+32,763","+41,333","+39,866","+163,003","+126,044","-20,192","-96,267"
"48","2368","金像電","1130","+100","+9.71","08/27","+2,372","+3,707","+29,531","+32,547","+33,465","+152,220","-8,114","-722,481","-666,875","-845,583"
"49","7750","新代","2300","-150","-6.12","08/27","+1,966","+18,054","+22,201","+32,237","+31,938","+46,615","+56,163","","",""
"50","3189","景碩","899","-15","-1.64","08/27","-1,393","-1,561","-4,769","+32,079","+70,424","+29,219","-22,991","-310,159","-251,371","-213,990"
"51","4966","譜瑞-KY","584","-6","-1.02","08/27","+4,698","+14,050","+21,273","+30,530","+36,796","+4,075","-160,160","-116,112","+116,376","+8,953"
"52","2885","元大金","64","+0.8","+1.27","08/27","-6,759","-4,726","+10,081","+29,224","+88,787","+122,594","-122,514","+90,446","+27,565","+87,319"
"53","8069","元太","160.5","+1.5","+0.94","08/27","+23,749","+13,242","+16,092","+27,821","+233,746","+550,206","+718,156","+795,054","+1,068,339","+969,835"
"54","4763","材料*-KY","45.65","-0.15","-0.33","08/27","+13.9","+3,854","+14,325","+27,796","-8,206","-38,636","-51,132","-78,312","+106,405","-52,930"
"55","2645","長榮航太","174","-4.5","-2.52","08/27","+10,462","+13,553","+17,817","+26,137","+55,247","+54,487","-4,023","-40,937","+56,082","+24,325"
"56","3413","京鼎","287.5","0","0","08/27","+2,250","+4,431","+11,225","+25,064","+49,972","+54,646","-54,266","-128,049","+44,616","-36,006"
"57","8150","南茂","90.5","+0.2","+0.22","08/27","+4,676","+2,225","+14,430","+23,117","+34,339","+56,688","+77,782","+149,315","+141,199","+121,610"
"58","5425","台半","96.3","+1.1","+1.16","08/27","-2,793","-2,624","-256","+22,749","+49,137","+52,337","+48,539","+55,386","+69,961","+38,687"
"59","1326","台化","62.1","-1.1","-1.74","08/27","+1,831","+3,525","+1,850","+22,012","+22,764","+95,323","-84,602","-256,298","-530,999","-359,915"
"60","2887","台新新光金","37.5","+0.2","+0.54","08/27","-7,593","+3,979","-1,541","+21,279","+143,707","+177,962","+457,750","+782,399","+666,792","+523,256"
"61","2428","興勤","262","+9","+3.56","08/27","+2,559","+4,775","+6,477","+19,789","+44,162","+61,553","+50,612","+16,551","+53,109","-7,541"
"62","6274","台燿","1490","+45","+3.11","08/27","+15,245","+16,618","+17,333","+19,752","+31,090","+42,996","-46,226","-443,457","-827,662","-734,593"
"63","1303","南亞","220.5","-7","-3.08","08/27","-46,295","-47,151","-94,148","+19,430","+24,185","+289,477","+668,752","+575,033","-744,112","-207,182"
"64","6944","兆聯實業","712","-4","-0.56","08/27","+8,321","+12,585","+12,866","+19,089","+34,883","+87,464","+146,600","+181,794","","+183,487"
