" "," ","#","股票代號/名稱","類別","20260123","0130","0206","0211","0226","0306"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","177","6477安集","光電","0.15","-0.14","1.27","-1.02","1.21","-0.58"," ","30","0.89"," ","43.85","39.50","-0.15"," "
" "," ","178","2612中航","航運","0.12","0.79","-0.62","0.29","0.36","-0.05"," ","30","0.89"," ","74.71","57.30","-2.80"," "
" "," ","179","3708上緯投控","綠能","1.96","0.01","1.44","-0.44","0.60","-2.69"," ","30","0.88"," ","51.43","130.00","1.50"," "
" "," ","180","2645長榮航太","航運","0.10","-0.07","0.34","-0.12","0.44","0.19"," ","30","0.88"," ","82.79","160.50","1.00"," "
" "," ","181","6224聚鼎","電子零組件","-0.47","0.00","0.59","0.01","0.55","0.20"," ","30","0.88"," ","35.60","40.80","0.10"," "
" "," ","182","6491晶碩","生技醫療業","0.06","0.00","0.54","0.63","0.20","-0.56"," ","10","0.87"," ","61.41","278.00","-2.00"," "
" "," ","183","4104佳醫","生技醫療業","-0.07","-0.07","1.08","-0.05","0.02","-0.05"," ","30","0.86"," ","46.18","75.70","-0.60"," "
" "," ","184","6120達運","光電","0.24","-0.05","0.28","-0.31","0.40","0.30"," ","30","0.86"," ","58.61","13.15","-0.40"," "
" "," ","185","2430燦坤","電子通路","0.00","-0.02","0.34","0.17","0.10","0.26"," ","31","0.85"," ","63.90","22.75","-0.05"," "
" "," ","186","2603長榮","航運","0.08","-0.07","-0.29","-0.03","0.62","0.54"," ","30","0.85"," ","66.72","207.50","-4.00"," "
" "," ","187","2442新美齊","營建","-1.12","1.36","0.42","-0.03","-0.01","0.22"," ","50","0.84"," ","63.47","19.70","-0.25"," "
" "," ","188","1524耿鼎","汽車","-0.04","-0.30","0.61","-0.10","-0.33","1.00"," ","31","0.84"," ","40.09","29.15","0.10"," "
" "," ","189","2739寒舍","觀光","0.23","0.02","0.01","0.00","0.07","0.51"," ","50","0.84"," ","73.17","33.90","-0.20"," "
