排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
105,8111,立碁,59.4,-3.2,-5.11,26W27,07/03,30.9,-0.32,27.1,-0.24,25.4,-0.16
106,3406,玉晶光,546.0,-1.0,-0.18,26W27,07/03,47.9,-1.97,44.3,0.33,37.0,-0.5
107,5488,松普,13.5,0.3,2.27,26W27,07/03,40.1,0.21,38.7,0.96,37.7,-0.01
108,6109,亞元,11.05,0.15,1.38,26W27,07/03,47.8,0.39,44.7,-0.42,37.5,0.71
109,3533,嘉澤,1910.0,-60.0,-3.05,26W27,07/03,57.0,0.0,52.5,-2.03,46.8,0.91
110,6464,台數科,78.0,0.7,0.91,26W27,07/03,82.4,0.07,79.8,0.53,77.7,0.53
111,2485,兆赫,40.5,-0.5,-1.22,26W27,07/03,18.1,0.04,16.8,-0.18,16.5,0.08
112,00674R,期元大S&P黃金反1,28.81,-0.03,-0.1,26W27,07/03,42.4,0.17,42.4,0.17,42.4,0.17
113,2241,艾姆勒,32.65,-2.45,-6.98,26W27,07/03,40.2,1.07,37.0,-0.23,34.5,-0.25
114,8150,南茂,86.3,-0.6,-0.69,26W27,07/03,70.5,3.19,68.4,2.82,66.3,2.7
115,00985B,群益ESG投等債0-5,10.33,-0.01,-0.1,26W27,07/03,51.5,0.55,49.8,0.72,47.3,0.93
116,6127,九豪,48.1,-1.9,-3.8,26W27,07/03,24.2,-2.31,23.6,-0.44,22.7,-0.42
117,8112,至上,91.2,2.2,2.47,26W27,07/03,34.7,-2.17,33.9,-2.29,32.1,-2.63
118,3131,弘塑,2385.0,0.0,0.0,26W27,07/03,43.1,-0.19,43.1,-0.19,37.0,-0.09
119,00944,野村趨勢動能高息,20.26,-0.21,-1.03,26W27,07/03,9.91,-0.1,7.69,0.11,6.14,0.22
120,4113,聯上,14.8,0.05,0.34,26W27,07/03,70.0,0.31,65.0,0.24,63.9,-0.11
121,2367,燿華,41.4,-1.0,-2.36,26W27,07/03,25.3,0.12,24.4,0.22,23.4,-0.14
122,6261,久元,78.4,-1.7,-2.12,26W27,07/03,36.1,0.68,33.2,0.66,29.6,-0.06
123,00918,大華優利高填息30,33.59,0.01,0.03,26W27,07/03,12.0,-0.87,11.4,-0.8,11.1,-0.85
124,5347,世界,143.5,-8.0,-5.28,26W27,07/03,84.9,-0.94,84.0,-0.91,82.9,-0.85
125,9914,美利達,80.8,1.3,1.64,26W27,07/03,64.1,-0.11,61.9,0.14,56.5,-0.5
126,8042,金山電,116.5,4.0,3.56,26W27,07/03,69.2,-0.45,66.5,0.09,64.5,-0.54
127,3176,基亞,33.7,1.25,3.85,26W27,07/03,30.9,0.04,30.5,0.04,28.5,0.04
128,3167,大量,691.0,-14.0,-1.99,26W27,07/03,54.4,-0.16,50.0,-0.14,48.0,-0.14
129,2327,國巨*,540.0,-30.0,-5.26,26W27,07/03,72.0,-0.39,70.5,-0.35,69.0,-0.5
130,4540,全球傳動,60.0,4.2,7.53,26W27,07/03,31.4,1.39,29.7,0.78,27.9,1.48
131,9802,鈺齊-KY,70.1,0.2,0.29,26W27,07/03,60.0,-0.04,58.6,-0.04,56.8,-0.07
132,00932,兆豐永續高息等權,17.53,0.06,0.34,26W27,07/03,14.1,1.59,13.6,1.09,12.8,1.09
133,7689,大鵬科CLMX,164.0,0.0,0.0,26W27,07/03,90.9,-0.01,88.4,0.0,88.4,0.0
134,6525,捷敏-KY,135.5,-3.5,-2.52,26W27,07/03,63.1,0.79,59.4,0.8,57.9,0.8
135,6472,保瑞,417.5,-1.0,-0.24,26W27,07/03,50.3,-0.76,46.5,0.37,45.1,-0.37
136,2481,強茂,133.0,-6.0,-4.32,26W27,07/03,65.7,1.2,63.5,1.22,61.1,0.3
137,6768,志強-KY,66.8,0.1,0.15,26W27,07/03,81.4,-0.25,80.2,-0.25,79.8,-0.25
138,8383,千附,70.0,-1.7,-2.37,26W27,07/03,48.5,0.13,46.6,0.1,45.8,0.84
139,00953B,群益優選非投等債,9.75,0.0,0.0,26W27,07/03,45.1,0.16,41.4,0.1,38.3,0.21
140,00988B,玉山嚴選非投債,19.98,-0.02,-0.1,26W27,07/03,14.7,-0.48,14.7,-0.48,10.5,-0.34
141,5511,德昌,69.7,-0.4,-0.57,26W27,07/03,59.5,-0.23,57.6,0.3,53.8,0.3
142,5258,虹堡,51.8,-0.2,-0.38,26W27,07/03,43.7,0.04,40.2,0.03,36.9,0.89
143,00679B,元大美債20年,26.41,-0.25,-0.94,26W27,07/03,41.8,-0.6,40.5,-0.59,39.5,-0.59
144,00982B,FT投資級債20+,9.62,-0.07,-0.72,26W27,07/03,63.2,-0.12,63.2,-0.12,63.2,-0.12
145,9907,統一實,14.6,0.2,1.39,26W27,07/03,73.0,-0.18,71.5,-0.26,70.5,-0.18
146,2458,義隆,141.5,-6.0,-4.07,26W27,07/03,55.7,-0.38,53.2,-0.39,50.0,-0.36
147,1810,和成,24.6,0.1,0.41,26W27,07/03,65.2,1.51,63.5,0.96,62.1,0.63
148,3041,揚智,22.5,-0.2,-0.88,26W27,07/03,25.8,0.36,23.8,-0.78,21.7,-1.45
149,8473,山林水,40.9,-0.75,-1.8,26W27,07/03,67.8,-0.14,67.8,0.27,65.8,-0.71
150,00972,野村日本動能高息,21.96,0.18,0.83,26W27,07/03,32.4,0.97,32.4,0.97,32.4,0.97
151,4720,德淵,19.35,-0.2,-1.02,26W27,07/03,38.4,2.68,36.0,1.57,36.0,2.44
152,6278,台表科,156.0,-6.5,-4.0,26W27,07/03,61.5,0.88,58.2,1.36,55.7,2.01
153,2548,華固,94.4,-0.9,-0.94,26W27,07/03,47.2,-0.07,42.5,-0.01,39.0,-0.06
154,2406,國碩,31.35,-0.8,-2.49,26W27,07/03,35.7,2.94,33.9,3.57,31.1,3.32
155,4576,大銀微系統,218.0,-0.5,-0.23,26W27,07/03,65.2,0.77,63.6,-0.33,61.2,0.37
156,3044,健鼎,394.0,-3.5,-0.88,26W27,07/03,75.3,-0.65,72.5,-0.32,70.4,-0.36
157,4552,力達-KY,17.7,0.1,0.57,26W27,07/03,48.1,0.02,44.5,0.01,44.5,0.01
158,2478,大毅,114.0,-7.5,-6.17,26W27,07/03,61.1,-1.17,59.3,-1.07,58.8,0.1
159,5302,太欣,10.15,0.05,0.5,26W27,07/03,48.9,0.16,47.5,0.16,46.9,0.72
