"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"48","0056","元大高股息","52","-0.7","-1.33","29,890","08/19","+105","+50","-187","-1,199","-3,346","-5,980","+2,055","+999","-671","-1,929"
"49","1802","台玻","57.1","+0.6","+1.06","26,388","08/19","-468","-288","-459","-1,155","-1,389","-12,630","-29,750","-16,976","-41,220","-25,506"
"50","1563","巧新","61","-1","-1.61","731","08/19","-73","-114","-97","-1,117","-1,029","-2,244","+4,001","+4,587","+4,591","+4,535"
"51","3717","聯嘉投控","22.2","-0.25","-1.11","1,277","08/19","+110","+277","-301","-1,113","+1,163","+2,620","+3,249","+4,585","+4,544","+5,485"
"52","3189","景碩","849","-16","-1.85","21,079","08/19","-251","-510","-796","-1,095","-653","+4,495","-4,700","+1,586","+9,164","+1,926"
"53","1605","華新","36.8","-0.3","-0.81","19,253","08/19","-611","-672","-627","-1,082","-8,288","-13,546","-9,605","-35,808","+5,876","-27,201"
"54","0052","富邦科技","60.15","-0.75","-1.23","12,818","08/19","-114","-126","-371","-993","-1,700","-1,948","-1,157","+77","+10,568","+2,914"
"55","3090","日電貿","177.5","+16","+9.91","21,471","08/19","-1,054","-1,416","-1,427","-990","+1,117","+2,028","-290","+450","+3,287","-608"
"56","2312","金寶","32.25","+0.3","+0.94","10,119","08/19","-339","-145","-160","-971","-700","-5,562","-5,794","+5,691","+2,949","-6,455"
"57","1101","台泥","24.05","-0.05","-0.21","16,533","08/19","+3","+36","+560","-956","-1,206","-1,789","+1,461","-269","+8,222","-2,290"
"58","2368","金像電","1040","-30","-2.8","10,291","08/19","-10","-537","-667","-953","+1,216","+2,820","+2,723","+1,677","+2,844","+1,519"
