排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1543,6266,泰詠,24.5,0.45,1.87,26M06,2.24,0.0,14.5,0,0,0.0,0.0,0.0,0,0,2.24,0.0,14.5,0,0
1544,6270,倍微,29.55,-0.15,-0.51,26M06,1.66,0.0,23.0,0,0,0.0,0.0,0.02,0,0,1.66,0.0,23.0,0,0
1545,6272,驊陞,24.25,-0.9,-3.58,26M06,0.74,0.0,8.99,0,0,0.0,0.0,0.0,0,0,0.74,0.0,8.99,0,0
1546,6274,台燿,1440.0,-90.0,-5.88,26M06,1.23,-60.0,4.24,0,0,0.0,0.0,0.0,0,0,1.23,-60.0,4.24,0,0
1547,6275,元山,44.2,-1.05,-2.32,26M06,0.72,0.0,9.0,0,0,0.0,0.0,0.0,0,0,0.72,0.0,9.0,0,0
1548,6276,安鈦克,20.4,0.25,1.24,26M06,0.19,0.0,8.8,0,0,0.0,0.0,0.0,0,0,0.19,0.0,8.8,0,0
1549,6279,胡連,126.5,6.0,4.98,26M06,1.96,0.0,16.5,0,0,0.0,0.0,0.0,0,0,1.96,0.0,16.5,0,0
1550,6282,康舒,47.15,-1.15,-2.38,26M06,17.0,0.0,19.9,0,0,0.0,0.0,0.0,0,0,17.0,0.0,19.9,0,0
1551,6283,淳安,20.25,0.25,1.25,26M06,5.09,-12558.0,34.2,0,0,0.03,282.0,0.2,0,0,5.12,-12276.0,34.4,0,0
1552,6284,佳邦,73.3,-2.9,-3.81,26M06,5.65,500.0,37.9,0,0,0.0,-0.01,0.0,0,0,5.65,500.0,37.9,0,0
1553,6285,啟碁,233.0,-14.0,-5.67,26M06,10.7,0.0,22.2,0,0,0.01,0.0,0.02,0,0,10.8,0.0,22.2,0,0
1554,6290,良維,202.0,-12.0,-5.61,26M06,1.26,0.0,7.46,0,0,0.0,0.0,0.0,0,0,1.26,0.0,7.46,0,0
1555,6291,沛亨,372.5,-10.5,-2.74,26M06,2.29,0.0,54.6,0,0,0.0,0.0,0.0,0,0,2.29,0.0,54.6,0,0
1556,6292,迅德,58.6,-1.1,-1.84,26M06,1.68,0.0,36.0,0,0,0.0,0.0,0.0,0,0,1.68,0.0,36.0,0,0
1557,6294,智基,26.85,-0.05,-0.19,26M06,0.5,0.0,19.2,0,0,0.0,0.0,0.0,0,0,0.5,0.0,19.2,0,0
1558,6405,悅城,38.35,-0.65,-1.67,26M06,0.54,0.0,8.14,0,0,0.0,0.0,0.0,0,0,0.54,0.0,8.14,0,0
1559,6409,旭隼,1015.0,5.0,0.5,26M06,1.45,0.0,16.4,0,0,0.0,0.0,0.0,0,0,1.45,0.0,16.4,0,0
1560,6412,群電,78.2,-0.7,-0.89,26M06,23.6,0.0,58.9,0,0,0.0,0.0,0.0,0,0,23.6,0.0,58.9,0,0
