排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1959,1780,立弘,24.35,-0.45,-1.81,26W37,09/11,14.7,-0.3,18.2,-0.21,21.7,-0.2,27.7,-0.19
1960,4439,冠星-KY,94.5,-0.8,-0.84,26W37,09/11,15.2,-0.01,21.1,0.01,21.7,0.01,25.6,0.01
1961,1440,南紡,13.4,-0.1,-0.74,26W37,09/11,15.7,0.01,18.8,0.11,21.6,0.06,23.6,0.2
1962,7718,友鋮,46.2,-0.05,-0.11,26W37,09/11,13.1,0.02,16.5,0.03,21.6,0.03,25.7,0.03
1963,1735,日勝化,19.95,-0.1,-0.5,26W37,09/11,17.4,0.0,19.0,-0.18,21.6,-0.01,22.2,-0.01
1964,5212,凌網,47.0,0.8,1.73,26W37,09/11,14.2,0.04,17.4,0.04,21.6,1.16,26.2,0.0
1965,1538,正峰,8.85,0.05,0.57,26W37,09/11,14.6,-0.14,20.1,-0.71,21.5,0.0,24.6,0.0
1966,8438,昶昕,67.0,-1.9,-2.76,26W37,09/11,13.6,0.18,16.4,0.02,21.5,-0.85,22.9,-0.85
1967,1259,安心,64.4,-0.8,-1.23,26W37,09/11,15.1,-0.12,19.2,-0.17,21.5,-0.17,23.2,-0.17
1968,6790,永豐實,37.8,-0.1,-0.26,26W37,09/11,16.4,-0.03,19.1,-0.01,21.4,-0.01,22.7,0.0
1969,1108,幸福,11.2,-0.15,-1.32,26W37,09/11,15.4,0.13,18.1,0.23,21.4,0.1,23.0,-0.04
1970,6988,威力暘-創,11.9,0.0,0.0,26W37,09/11,11.0,0.34,15.2,0.04,21.4,-0.76,24.5,1.32
1971,6794,向榮生技,77.0,0.7,0.92,26W37,09/11,10.4,0.09,15.3,0.17,21.3,0.13,26.2,0.12
1972,4551,智伸科,157.0,-2.0,-1.26,26W37,09/11,13.0,1.16,15.5,0.2,21.3,0.52,25.7,0.12
