排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
29,8426,紅木-KY,櫃,20.3,-0.4,-1.93,27,06/26,0,0,0,0,33.8,67.2,・・・
30,4807,日成-KY,市,37.9,-4.1,-9.76,983,06/26,-60,0,2,-58,32.9,67.2,－・＋
31,4569,六方科-KY,市,166.5,-9.0,-5.13,138,06/26,-6,0,-3,-9,20.5,67.1,－・－
32,2029,盛餘,市,20.55,-0.2,-0.96,265,06/26,-59,0,-2,-61,215.0,66.9,－・－
33,2924,宏太-KY,櫃,17.95,-0.05,-0.28,1,06/26,0,0,0,0,34.8,66.8,・・・
34,3529,力旺,櫃,2925.0,-320.0,-9.86,866,06/26,-74,44,22,-8,49.0,65.6,－＋＋
35,6862,三集瑞-KY,市,188.0,-10.5,-5.29,952,06/26,-27,0,-39,-66,32.7,65.5,－・－
36,4571,鈞興-KY,市,162.5,-8.0,-4.69,502,06/26,69,0,-7,62,34.5,65.2,＋・－
37,6451,訊芯-KY,市,598.0,-16.0,-2.61,11870,06/26,504,0,-138,366,71.6,63.9,＋・－
38,5538,東明-KY,市,32.55,-0.4,-1.21,28,06/26,-2,0,-3,-5,128.0,63.8,－・－
