"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"229","1519","華城","896","+5","+0.56","05/08","0.01","0.01","0.01","0.39","1.01","1.05","2.92","1.59","1.53","1.58","1.09","2.2"
"230","3357","臺慶科","187.5","+10","+5.63","05/08","0","0","0","0.38","0.26","0.2","0.61","0.48","0.63","0.69","","0.52"
"231","2312","金寶","27.95","-0.6","-2.1","05/08","1.63","0.82","0.59","0.38","0.12","0.33","1.1","0.7","0.51","0.19","0.17","0.8"
"232","3029","零壹","98.3","-1.7","-1.7","05/08","0.64","0.89","0.72","0.38","0.28","0.23","0.19","0.46","0.49","0.3","0.16","0.27"
"233","8069","元太","162","+9","+5.88","05/08","0","0.01","0.01","0.38","0.4","0.39","0.66","0.82","2.22","3.53","1.96","0.81"
"234","3376","新日興","202.5","-12.5","-5.81","05/08","0.16","0.48","0.51","0.36","0.18","0.07","0.51","0.81","1.99","2.2","2.91","0.33"
"235","6488","環球晶","802","+9","+1.13","05/08","0.26","0.21","0.25","0.36","1.24","1.6","3.21","3.2","3.81","3.96","2.06","2.8"
"236","1608","華榮","34","-0.3","-0.87","05/08","0.57","0.55","0.55","0.36","0.38","0.47","0.31","0.17","0.09","0.04","0.03","0.29"
"237","2059","川湖","5320","+480","+9.92","05/08","0","0","0","0.36","0.2","0.99","1.7","7.22","6.03","3.95","3.33","5.85"
"238","1810","和成","18.5","-0.05","-0.27","05/08","0.49","0.67","0.37","0.36","0.86","0.81","1.05","0.53","0.84","0.37","0.15","0.69"
"239","1905","華紙","12.45","-0.25","-1.97","05/08","0","0.09","0.2","0.35","0.14","0.06","0.06","0.04","0.07","0.05","0.11","0.05"
"240","2327","國巨*","389","+17.5","+4.71","05/08","0.13","0.09","0.23","0.35","2.22","1.78","2.12","1.67","1.32","1.53","1.29","1.74"
"241","8936","國統","52","-0.8","-1.52","05/08","0.45","0.74","0.61","0.34","0.2","0.11","0.04","0.05","0.31","0.1","0.15","0.03"
"242","3551","世禾","210","-5","-2.33","05/08","0","0","0","0.34","0.25","0.63","0.97","0.41","0.21","0.12","0.18","0.62"
"243","6525","捷敏-KY","106.5","-3","-2.74","05/08","0.89","0.64","0.45","0.33","0.26","0.19","0.14","0.1","0.08","0.29","1.58","0.12"
"244","3231","緯創","146.5","+0.5","+0.34","05/08","0.08","0.05","0.07","0.32","0.71","1.3","1.14","2.81","3.44","2.67","2.35","1.84"
"245","6279","胡連","124","0","0","05/08","0.63","0.42","0.33","0.32","0.31","2.49","1.49","1.74","5.22","3.15","2.8","2.1"
