"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"229","1303","南亞","85.3","-1.2","-1.39","05/14","0.83","0.97","0.87","0.55","0.81","2.82","1.91","1.52","2.57","2.91","2.45","1.55"
"230","1513","中興電","153","-2.5","-1.61","05/14","0.4","0.28","0.29","0.55","0.66","2.12","1.35","1.15","0.99","0.83","0.76","1.09"
"231","6197","佳必琪","226.5","-6.5","-2.79","05/14","0.02","0.01","0.95","0.54","0.17","0.08","0.11","1.52","1.44","0.64","0.44","0.56"
"232","3680","家登","580","-8","-1.36","05/14","0","1.57","1.03","0.53","0.64","0.64","1.31","0.92","1.13","3.88","1.94","1.1"
"233","5880","合庫金","22.75","-0.1","-0.44","05/14","1.12","0.69","0.75","0.51","0.38","0.47","0.78","0.88","1.38","1.01","0.5","0.82"
"234","2049","上銀","374.5","+10","+2.74","05/14","0.01","0.74","0.74","0.49","1.01","0.62","0.6","0.47","0.74","2.03","1.52","0.48"
"235","9802","鈺齊-KY","77","-2.2","-2.78","05/14","0.12","1.95","1.1","0.48","0.23","0.09","1.04","0.57","0.63","0.19","0","1.24"
"236","2331","精英","19.9","-0.2","-1","05/14","0.15","0.24","0.36","0.48","1.07","1.28","0.6","0.19","0.14","0.05","0.03","0.27"
"237","7765","中華資安","245","0","0","05/14","0.96","0.46","0.3","0.46","0.44","0.76","0.48","0.21","","","","0.6"
"238","2313","華通","245.5","+8.5","+3.59","05/14","0.13","1.09","0.75","0.45","0.59","2.04","1.17","1.04","1.01","2.04","2.03","1.11"
"239","4749","新應材","1120","-10","-0.88","05/14","0.04","0.66","0.7","0.45","2.54","2.27","2.71","2.33","2.14","","","2.61"
"240","6412","群電","91.7","-3.8","-3.98","05/14","3.28","1.67","0.64","0.44","0.97","3.76","2.07","7.72","6.25","5.91","3.42","6.03"
"241","8069","元太","226","+11","+5.12","05/14","0.52","0.78","0.5","0.43","0.45","0.47","0.26","0.17","0.38","0.09","0.01","0.42"
"242","2530","華建","21.05","-0.3","-1.41","05/14","0.45","0.2","0.3","0.41","1.07","1.71","1.55","1.26","0.99","0.33","0.19","1.57"
"243","1215","卜蜂","138.5","+3","+2.21","05/14","2.15","1.39","1","0.41","2.14","4.71","2.92","3.46","5.14","4.38","3.22","3.22"
"244","6831","邁科","722","+34","+4.94","05/14","1.41","0.83","0.64","0.41","0.62","0.76","0.47","","","","","0.81"
"245","1419","新紡","62.7","-1.1","-1.72","05/14","1.13","0.72","0.52","0.4","0.18","0.09","0.03","0.01","0.04","0.03","0.04","0.01"
"246","5508","永信建","48.4","-0.4","-0.82","05/14","0","0.57","0.4","0.39","5.08","1.96","0.58","19","9.68","3.71","2.72","0.41"
"247","00692","富邦公司治理","83.8","+0.35","+0.42","05/14","0","1.12","0.62","0.39","0.2","0.08","0.03","0.01","0.01","0","","0.02"
"248","3038","全台","23.05","+0.45","+1.99","05/14","1","0.52","0.49","0.39","0.47","0.37","0.31","0.27","0.45","0.45","0.17","0.34"
"249","1810","和成","18.75","0","0","05/14","0.38","0.24","0.21","0.39","0.49","0.72","0.95","0.53","0.84","0.38","0.15","0.67"
"250","2528","皇普","22.25","-0.1","-0.45","05/14","0","0.65","0.28","0.37","0.23","0.99","0.41","0.21","0.11","0.04","0.02","0.3"
"251","5388","中磊","77.7","-1.7","-2.14","05/14","0","0","0.51","0.37","0.27","2.62","1.28","2.49","5.79","4.08","2.99","1.64"
"252","3042","晶技","149.5","+3","+2.05","05/14","0.03","0.02","0.19","0.37","0.22","2.11","1.53","3.01","5.78","6.26","3.42","2.41"
"253","1519","華城","870","-25","-2.79","05/14","1.58","0.96","0.57","0.36","0.67","0.89","2.54","1.57","1.54","1.61","1.09","2.12"
"254","5515","建國","40.95","+1.95","+5","05/14","0.1","0.18","0.26","0.35","0.93","1.26","0.75","0.41","0.92","0.21","0.13","0.64"
"255","6217","中探針","324.5","-16.5","-4.84","05/14","0","0","0.38","0.35","0.28","0.18","0.03","0.01","0.01","0","0.32","0.02"
"256","1436","華友聯","48.05","+0.05","+0.1","05/14","0","0.6","0.35","0.34","0.3","0.3","0.2","0.34","0.5","0.65","0.48","0.43"
"257","6548","長科*","49.8","-1","-1.97","05/14","0","0","0.03","0.34","0.24","0.24","0.28","0.21","0.23","0.65","","0.26"
"258","2838","聯邦銀","20.15","-0.25","-1.23","05/14","0.94","0.56","0.57","0.34","0.19","0.26","0.11","5.87","2.63","1","0.75","7.29"
"259","6409","旭隼","705","-48","-6.37","05/14","0.21","0.2","0.55","0.34","0.52","0.58","0.42","0.49","0.42","0.62","0.75","0.53"
