"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"795","6770","力積電","市","05/12","","62.1","-0.4","-0.64","169,377","10,466","62.5","63","63.3","60.4","4.64","35.1","2.73","","","","",""
"796","6925","意藍","櫃","05/12","","62","-1.9","-2.97","120","7.46","63.9","63.9","63.9","61.1","4.38","21.6","3.3","","","","",""
"797","1315","達新","市","05/12","","61.5","-0.3","-0.49","22","1.35","61.8","61.8","62","61.5","0.81","39.7","0.58","","","","",""
"798","6617","共信-KY","櫃","05/12","","61.5","-1.9","-3","269","16.5","63.4","62.2","62.2","59.8","3.79","","2.98","","","","",""
"799","3527","聚積","櫃","05/12","","61.3","-3.6","-5.55","395","24.3","64.9","63.5","63.5","60.2","5.08","","1.21","","","","",""
"800","2254","巨鎧精密-創","市","05/12","","61.1","-3.9","-6","44","2.79","65","65","65","61","6.15","","3.76","","","","",""
"801","8431","匯鑽科","櫃","05/12","","61.1","+0.2","+0.33","553","33.6","60.9","60.9","61.3","60.4","1.48","","3.74","","","","",""
"802","1341","富林-KY","市","05/12","","60.9","-0.5","-0.81","12","0.72","61.4","61","61.1","60.9","0.33","15","2.71","","","","",""
"803","1525","江申","市","05/12","","60.9","-1.1","-1.77","17","1.05","62","62.4","62.4","60.7","2.74","19","0.89","","","","",""
"804","3356","奇偶","市","05/12","","60.9","+1.2","+2.01","3,446","211","59.7","61.5","62.3","60.1","3.69","6.01","1.83","","","","",""
"805","1720","生達","市","05/12","","60.8","-0.3","-0.49","224","13.6","61.1","61.2","61.2","60.8","0.65","11.7","1.77","","","","",""
"806","2423","固緯","市","05/12","","60.8","-0.1","-0.16","196","11.9","60.9","60.9","62.1","59.1","4.93","20.8","2.98","","","","",""
"807","2882B","國泰金乙特","市","05/12","","60.8","-0.1","-0.16","149","9.03","60.9","60.8","60.8","60.2","0.99","","","","","","",""
