排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
103,2633,台灣高鐵,26.15,0.2,0.77,07/16,0.01,0.01,0.05,0.07,0.13,1.54,1.72,1.71,1.7,1.73,,1.7
104,1476,儒鴻,339.0,8.0,2.42,07/16,0.0,0.0,0.0,0.06,0.14,0.88,1.64,1.58,1.53,2.52,2.13,1.42
105,5439,高技,289.0,-7.0,-2.36,07/16,0.07,0.07,0.07,0.06,0.06,-1.71,-3.36,-3.07,3.82,1.12,4.76,-1.34
106,6505,台塑化,80.0,7.2,9.89,07/16,0.03,0.05,0.05,0.06,0.06,0.03,-0.01,0.01,-0.08,-0.03,-0.01,0.0
107,2031,新光鋼,40.45,0.2,0.5,07/16,0.0,0.0,0.0,0.05,0.13,0.13,0.42,0.46,0.46,-0.67,0.43,0.46
108,2889,國票金,15.85,0.05,0.32,07/16,0.0,0.0,0.05,0.05,0.05,0.05,0.05,-0.01,-0.05,-0.08,-0.1,-0.02
109,6026,福邦證,14.7,-0.3,-2.0,07/16,0.0,0.0,0.0,0.05,0.23,0.81,0.81,0.81,0.81,0.81,0.81,0.81
110,2851,中再保,36.9,-1.6,-4.16,07/16,0.0,0.0,0.01,0.05,0.15,0.16,0.09,0.13,0.19,0.17,0.12,0.14
111,6890,來億-KY,172.5,-3.5,-1.99,07/16,0.0,0.01,0.01,0.05,0.05,0.13,5.41,5.31,4.6,,,5.06
112,3374,精材,395.0,-7.0,-1.74,07/16,0.03,0.03,0.03,0.05,-0.37,-0.48,-0.55,-1.7,-0.06,-3.12,-1.73,0.06
113,6177,達麗,48.0,1.1,2.35,07/16,0.01,0.01,0.05,0.05,0.05,0.45,-0.43,-0.27,-1.29,0.55,0.55,-0.75
114,6739,竹陞科技,1215.0,110.0,9.95,07/16,0.0,0.01,0.01,0.05,0.05,0.05,-1.88,-0.22,0.52,,,-0.34
115,6691,洋基工程,754.0,1.0,0.13,07/16,0.01,0.01,0.05,0.05,1.74,3.14,2.4,2.3,2.76,1.63,,1.96
116,2886,兆豐金,46.6,0.6,1.3,07/16,-0.03,-0.03,-0.01,0.05,0.49,2.57,3.14,3.05,2.8,4.53,5.73,3.01
117,2395,研華,530.0,-3.0,-0.56,07/16,0.03,0.02,0.04,0.04,0.07,0.12,0.15,0.31,-0.37,0.31,0.58,0.31
118,5469,瀚宇博,73.2,-3.5,-4.56,07/16,0.0,0.0,0.0,0.04,1.83,3.42,2.98,2.35,4.5,1.97,4.77,2.25
119,4763,材料*-KY,47.45,0.5,1.06,07/16,0.04,0.04,0.04,0.04,0.04,0.06,-2.49,-3.3,-1.07,-2.71,-2.71,-3.81
120,1216,統一,79.0,0.4,0.51,07/16,0.02,0.02,0.04,0.04,0.07,1.01,1.4,0.68,3.7,9.9,10.8,0.36
121,3653,健策,3395.0,115.0,3.51,07/16,0.14,0.14,0.1,0.04,-0.13,-0.64,-0.65,0.01,-3.23,-8.63,6.87,-0.94
122,9946,三發地產,18.3,0.15,0.83,07/16,0.0,0.0,0.0,0.04,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1
123,3163,波若威,724.0,-30.0,-3.98,07/16,0.0,0.0,0.0,0.04,-0.31,-1.78,-8.19,1.75,1.34,4.7,1.81,1.34
124,8464,億豐,358.5,6.5,1.85,07/16,0.0,0.0,0.0,0.03,0.29,1.37,1.56,1.76,1.61,1.54,1.43,1.75
125,5904,寶雅,623.0,-29.0,-4.45,07/16,-0.03,-0.03,0.03,0.03,-0.08,0.08,0.39,0.57,0.11,0.57,0.07,0.82
