排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
79,1409,新纖,17.6,0.4,2.33,05/25,-835,-823,-1087,-1232,445,282,-1829.0,-19895.0,2582.0,-4186.0
80,2369,菱生,34.3,2.25,7.02,05/25,-1371,-1594,-1608,-1223,-2527,-5812,-1280.0,-6101.0,2981.0,-2229.0
81,5371,中光電,73.0,0.9,1.25,05/25,-771,-1337,-1356,-1176,-968,2437,-1619.0,774.0,9747.0,1167.0
82,3008,大立光,3845.0,305.0,8.62,05/25,96,-133,-765,-1176,-830,-747,-1993.0,3053.0,5092.0,1386.0
83,2103,台橡,19.5,-0.3,-1.52,05/25,257,-430,-446,-1170,-3641,-1352,4311.0,-4289.0,5197.0,4332.0
84,3305,昇貿,160.5,14.5,9.93,05/25,-332,-1174,-1430,-1150,-1421,-422,-3032.0,-2332.0,3134.0,-2984.0
85,00992A,主動群益科技創新,18.85,0.57,3.12,05/25,-15,-4240,-5703,-1144,-454,-6533,37325.0,,,39233.0
86,1605,華新,37.95,1.45,3.97,05/25,-444,-451,-121,-1139,-6724,28,-50094.0,-99788.0,68532.0,-108812.0
87,00887,永豐中國科技50大,17.51,0.72,4.29,05/25,-500,-393,-713,-1119,-1917,-594,-3833.0,-7189.0,-13663.0,-5028.0
88,1314,中石化,7.07,-0.01,-0.14,05/25,-2920,-1252,-1873,-1111,8751,19548,100029.0,46463.0,56811.0,50803.0
89,6415,矽力*-KY,618.0,56.0,9.96,05/25,1027,1297,-1392,-1079,-1238,-2821,-7973.0,-2149.0,2614.0,8405.0
90,8358,金居,545.0,23.0,4.41,05/25,-208,-516,-691,-1061,-1285,-2671,-1669.0,-7742.0,-4410.0,-3156.0
91,2646,星宇航空,20.3,-0.15,-0.73,05/25,-838,-810,-1096,-1049,9,-2542,9920.0,24404.0,91734.0,21824.0
92,2439,美律,88.2,-0.1,-0.11,05/25,-345,-574,-1230,-1043,-244,-408,7069.0,3870.0,4627.0,4082.0
93,1313,聯成,10.7,0.05,0.47,05/25,252,331,410,-1024,-933,-1376,26368.0,26391.0,21167.0,26112.0
94,2365,昆盈,39.65,0.5,1.28,05/25,-744,-785,-800,-1013,-730,157,-1448.0,2.0,1079.0,-1390.0
95,00881,國泰台灣科技龍頭,53.45,2.35,4.6,05/25,-178,-541,-453,-1009,-371,62,3836.0,20687.0,21168.0,16134.0
96,3149,正達,65.0,5.9,9.98,05/25,129,-264,-264,-1008,-528,3,3890.0,831.0,3875.0,60.0
97,00673R,期元大S&P原油反1,12.64,0.82,6.94,05/25,-1649,-1644,-1639,-997,2819,14526,17629.0,20994.0,20994.0,20994.0
98,6244,茂迪,30.65,1.25,4.25,05/25,-409,-1116,-1159,-962,-2465,-599,2096.0,14021.0,17800.0,10549.0
99,2495,普安,46.15,1.95,4.41,05/25,-1450,-1343,-1278,-959,776,3315,-4934.0,-606.0,4427.0,-6420.0
100,9939,宏全,124.5,-2.5,-1.97,05/25,90,-1,-1266,-951,-375,770,5.0,785.0,9587.0,-284.0
101,009815,大華美國MAG7+,11.43,0.09,0.79,05/25,-916,-916,-916,-917,-1005,-3643,-6158.0,,,
102,00985A,主動野村台灣50,21.93,0.6,2.81,05/25,-240,-897,-907,-907,-203,2305,1392.0,1954.0,,1939.0
103,2375,凱美,138.0,3.5,2.6,05/25,39,-628,-1004,-889,-726,-19,-122.0,-2368.0,491.0,-2684.0
104,2395,研華,498.5,29.5,6.29,05/25,136,-365,-563,-878,-3995,-3320,-712.0,10264.0,11981.0,8163.0
105,009805,新光美國電力基建,17.0,0.46,2.78,05/25,-251,-251,-1066,-870,-846,-184,504.0,6599.0,13584.0,7794.0
106,3645,達邁,117.5,8.5,7.8,05/25,-581,-695,-738,-843,-25,1992,-1763.0,-1825.0,2022.0,-1380.0
107,2474,可成,186.5,-1.0,-0.53,05/25,-250,232,232,-837,560,-3382,11092.0,8909.0,42854.0,10394.0
108,1308,亞聚,13.35,0.05,0.38,05/25,-185,35,-482,-833,-536,226,17757.0,18587.0,14327.0,19782.0
109,00955,中信日本商社,15.55,-0.07,-0.45,05/25,-504,-545,-657,-827,-884,1214,-9039.0,9764.0,14868.0,6640.0
110,00937B,群益ESG投等債20+,14.72,0.04,0.27,05/25,1,-753,-753,-813,3487,-4725,13306.0,-42404.0,-57691.0,-25561.0
111,1582,信錦,114.0,-1.0,-0.87,05/25,220,-385,-1016,-813,-818,-1231,582.0,4439.0,4829.0,4469.0
112,3374,精材,258.0,5.0,1.98,05/25,460,402,-582,-803,387,600,-3936.0,-8735.0,-5262.0,-5623.0
113,8028,昇陽半導體,311.5,17.5,5.95,05/25,-201,-303,-312,-783,-697,-2442,-8730.0,-11214.0,-1812.0,-9801.0
114,3312,弘憶股,50.4,2.75,5.77,05/25,-221,-261,-638,-739,-640,-1257,-2728.0,-581.0,-602.0,388.0
115,2338,光罩,57.1,2.7,4.96,05/25,-791,-953,-806,-737,-1105,-1930,-2511.0,-3645.0,1716.0,-2489.0
116,6548,長科*,54.9,3.0,5.78,05/25,-493,-394,-643,-722,1914,3078,10517.0,12478.0,14197.0,5964.0
117,1907,永豐餘,24.85,0.4,1.64,05/25,44,176,75,-720,-298,1989,4462.0,9578.0,9594.0,8209.0
118,00982A,主動群益台灣強棒,23.72,1.08,4.77,05/25,-4560,-3736,-3712,-717,10690,29151,53484.0,34524.0,62024.0,50977.0
119,2485,兆赫,76.7,3.7,5.07,05/25,-347,-670,-638,-708,-26,1627,784.0,9102.0,10659.0,931.0
120,3227,原相,232.5,-0.5,-0.21,05/25,-334,-670,-835,-703,-2214,-3111,-4226.0,-623.0,4641.0,179.0
