"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"2182","2645","長榮航太","193","-1","-0.52","26W28","07/09","15.4","-0.99","17.5","-0.53","82.5","+0.53"
"2183","2530","華建","19.45","+0.2","+1.04","26W28","07/09","16.8","+0.09","18.3","+0.08","81.7","-0.08"
"2184","2897","王道銀行","10.15","+0.05","+0.5","26W28","07/09","17.5","-0.11","18.6","-0.12","81.4","+0.12"
"2185","2206","三陽工業","62","+0.6","+0.98","26W28","07/09","17.9","-0.26","19.3","-0.13","80.7","+0.13"
"2186","7732","金興精密","35.35","-0.25","-0.7","26W28","07/09","15","+0.07","15","+0.07","85","-0.07"
"2187","5902","德記","34.3","0","0","26W28","07/09","17.6","-0.01","18.7","-0.01","81.3","+0.01"
"2188","1907","永豐餘","30.85","+0.5","+1.65","26W28","07/09","17.8","-0.26","19","-0.21","81","+0.21"
"2189","1522A","堤維西甲特","50.6","+1.6","+3.27","26W28","07/09","14.8","0","18.1","0","81.9","0"
"2190","2015","豐興","65.8","+0.8","+1.23","26W28","07/09","16.8","+0.02","18.3","+0.02","81.7","-0.02"
"2191","6887","寶綠特-KY","36.9","+0.45","+1.23","26W28","07/09","16.6","+1.14","17.9","0","82.1","0"
"2192","2886","兆豐金","50.9","+0.6","+1.19","26W28","07/09","18.1","+0.04","18.4","+0.04","81.6","-0.04"
"2193","00696B","富邦美債20年","28.46","-0.3","-1.04","26W28","07/09","16.5","+0.1","17.1","+0.11","82.9","-0.11"
"2194","4583","台灣精銳","503","-2","-0.4","26W28","07/09","15.9","-1.04","18.2","0","81.8","0"
"2195","2722","夏都","21.9","-0.15","-0.68","26W28","07/09","16.3","0","17.6","0","82.4","0"
"2196","6579","研揚","171.5","-3.5","-2","26W28","07/09","16.1","-0.28","16.7","+0.27","83.3","-0.27"
"2197","5906","台南-KY","40.7","0","0","26W28","07/09","14.9","0","17.5","0","82.5","0"
"2198","2466","冠西電","91.4","-4.1","-4.29","26W28","07/09","14","-1.89","16.1","-0.79","83.9","+0.79"
"2199","8080","泰霖","27.5","+0.25","+0.92","26W28","07/09","17.5","0","17.5","0","82.5","0"
"2200","9937","全國","55.1","-0.3","-0.54","26W28","07/09","17.1","+0.01","17.4","+0.01","82.6","-0.01"
"2201","2836","高雄銀","11.85","+0.05","+0.42","26W28","07/09","17.2","+0.02","17.7","-0.03","82.3","+0.03"
"2202","5489","彩富","41.65","-1.75","-4.03","26W28","07/09","17.4","0","17.4","0","82.6","0"
"2203","5876","上海商銀","43.45","0","0","26W28","07/09","17.4","+0.07","18.8","+0.09","81.2","-0.09"
"2204","3086","華義*","27.15","-0.45","-1.63","26W28","07/09","15.8","0","16.8","0","83.2","0"
"2205","6023","元大期","86.7","-0.3","-0.34","26W28","07/09","15.4","+0.03","15.7","+0.03","84.3","-0.03"
"2206","2207","和泰車","516","0","0","26W28","07/09","15.9","-0.18","17.2","-0.18","82.8","+0.18"
"2207","2882","國泰金","99.4","+1.9","+1.95","26W28","07/09","16.2","+0.02","16.8","+0.01","83.2","-0.01"
"2208","1736","喬山","137","-5.5","-3.86","26W28","07/09","15.1","-0.32","16.7","-0.33","83.3","+0.33"
"2209","5531","鄉林","7.71","+0.04","+0.52","26W28","07/09","16","-0.09","16.6","+0.09","83.4","-0.09"
"2210","1414","東和","19.55","+0.2","+1.03","26W28","07/09","14.4","-0.3","17.3","+0.28","82.7","-0.28"
"2211","2704","國賓","45.85","+0.25","+0.55","26W28","07/09","14.8","-0.02","16.6","-0.02","83.4","+0.02"
"2212","2945","三商家購","41.7","+0.1","+0.24","26W28","07/09","16.5","0","16.5","0","83.5","0"
"2213","2867","三商壽","9.81","+0.04","+0.41","26W28","07/09","16.9","-0.36","17.7","-0.41","82.3","+0.41"
